,축제명,클러스터 라벨
0,대한민국 산업기술 R&D대전 ,4
1,서울디자인페스티벌 ,5
2,서울무용제 ,4
3,서울지식이음축제 ,3
4,코리아세일페스타 (Korea Sale FESTA) ,5
5,서울국제음악제 ,5
6,서울빛초롱축제 ,3
7,롯데월드 호러 할로윈 : The Invitation ,2
8,소방관과 함께하는 119런 ,5
9,서점의 날 - 서점주간 ,4
10,조계사 국화향기 나눔전 ,1
11,서울서점페어 ,5
12,서울 코믹월드 ,4
13,서울사진축제 ,5
14,서울평화문화축제 ,5
15,아이오닉 롱기스트런 ,3
16,경북착한사과 페스티벌 ,3
17,아시아나국제단편영화제 ,4
18,서울김장문화제 ,4
19,글로벌 프렌즈쉽 페스티벌 ,5
20,석촌호수 더북&단풍축제 ,3
21,강동톡페스티벌 ,5
22,인서울마켓 ,5
23,서울미래연극제 ,3
24,경복궁 생과방 ,5
25,남대문 3GO 야시장 ,3
26,문화가 흐르는 서울광장 ,3
27,서울시민시장 위크(Week) ,4
28,생활예술인 페어 ,5
29,청룡문화제 ,1
30,한마음 걷기축제 ,5
31,양재플라워페스타 ,4
32,창덕궁 달빛기행 ,5
33,창덕궁 달빛기행 ,5
34,정동야행 ,4
35,KYMF 대한민국청소년미디어대전 ,3
36,유진예술포차 ,3
37,종로청년숲 ,3
38,서울억새축제 ,4
39,꽃길만 걸어요 ,4
40,그랜드민트페스티벌 2019 (GMF 2,5
41,성북진경축제 ,3
42,마켓을 여행하다 ,4
43,여행페스타 ,1
44,마포나루 새우젓축제 ,4
45,서울세계무용축제 ,3
46,정동문화축제 ,4
47,영크리에이터스 마켓 <10월 마주치장> ,3
48,인쇄문화축제 ,5
49,모두하나대축제 ,3
50,관악 강감찬축제 ,3
51,생생문화재 양화진 뱃길탐방 ,4
52,선인장페스티벌 ,3
53,허준축제 ,4
54,용마폭포 문화예술축제 ,3
55,사랑-인도문화축제 ,3
56,서울국제작가축제(2019 Seoul International Writers Festival) ,3
