,0,1
0,대한민국 산업기술 R&D대전 ,"['[]', '[<dd><strong class=""hl"">R</strong>&amp;D) 사업 등을 적극적으로 지원할 것""이라고 강조했다. 그는 이어 ""제3차 지능형 로봇 기본계획을 통해 제조용 로봇의 확대 보급을 지원하고 주요 서비스로봇 분야를 집중 육성하기로 했다""며서 ""타 <strong class=""hl"">산업</strong>에 로봇 융합<strong class=""hl"">기술</strong>을...</dd>]', '[<dd>한국물<strong class=""hl"">기술</strong>인증원의 유치가 확정돼 곧 공사를 시작합니다. ◀ＩＮＴ▶권영진 대구시장 ""대구를 기반으로 <strong class=""hl"">대한민국</strong> 물<strong class=""hl"">산업</strong>이 세계로 뻗어나갈 수 있도록 대구가 헌신하겠습니다. "" 물<strong class=""hl"">산업</strong>클러스터로 입주했거나...</dd>]', '[<dd>‘2019 <strong class=""hl"">대한민국</strong> 에너지대전’에 참가해 에너지 절감 <strong class=""hl"">기술</strong>을 겨룬다. <strong class=""hl"">산업</strong>통상자원부 주최, 한국에너지공단... 에너지 생산 분야에서 국내 최대 출력과 최고 효율을 갖춘 네온 <strong class=""hl"">R</strong>, 태양광 모듈의 양면에서 빛을 흡수해...</dd>]', '[]', '[]', '[<dd>삼성전자와 LG전자는 3일부터 6일까지 경기 고양시 일산 킨텍스에서 열리는 \'2019 <strong class=""hl"">대한민국</strong> 에너지대전\'에... 실내기\'를, <strong class=""hl"">산업</strong>공간에는 인버터<strong class=""hl"">기술</strong>을 적용해 기존 제품보다 연간 운영비를 최대 27% 절감할 수 있고...</dd>]', '[<dd>열린 ‘<strong class=""hl"">대한민국</strong>국제물주간 2019’ 전시회에 참가해 경주시 수처리홍보관을 운영했다. 국제물주간은... 이번 행사에서 자체 물 정화 <strong class=""hl"">기술</strong>인 GJ-R<strong class=""hl"">기술</strong> 및 GJ-S<strong class=""hl"">기술</strong>을 해외 물 <strong class=""hl"">산업</strong> 관계자들에게 소개하고 경주시 관광안내...</dd>]', '[]', '[]']"
0,서울디자인페스티벌 ,"['[]', '[<dd>예술경영지원센터가 ‘아트 굿즈 편의점’을 국내 디자이너들의 세계 진출을 돕는 ‘2019 <strong class=""hl"">서울 디자인페스티벌</strong>’을 통해 선보인다고 28일 밝혔다. 예술경영지원센터는 ‘아트 굿즈 편의점’의 <strong class=""hl"">서울 디자인페스티벌</strong>...</dd>]', '[]', '[<dd>한편, \'제 18회 <strong class=""hl"">서울디자인페스티벌</strong>\'은 내달 4일부터 서울 코엑스 C홀에서 개최될 예정이며, \'디자이너 프로모션\'을 모토로 디자이너, 디자인 브랜드, 기업들과 함께 국내외 디자인 동향을 선보이며 국내 디자인 경쟁력을...</dd>]', '[]', '[]', '[<dd>10년 후 미래 논의 유명 창업가·전문가 참여 글로벌 스타트업 <strong class=""hl"">페스티벌</strong>(K-Startup Week ComeUp 2019)이 28일 <strong class=""hl"">서울</strong> 동대문<strong class=""hl"">디자인</strong>플라자(DDP)에서 열렸다. 컴업(ComeUp) 2019는 국내 스타트업과 글로벌 투자자, 기업간 교류...</dd>]', '[]', '[]', '[]']"
0,서울무용제 ,"['[]', '[<dd>■ <strong class=""hl"">서울무용제</strong> 2019 서울특별시 종로구 / 2019.10.12. ~ 2019.11.29. &lt;<strong class=""hl"">서울무용제</strong>&gt;는 우수한 창작무용 공연을 통하여 대한민국 무용 예술의 진흥에 기여하고자 설립된 무용제로서, 1979년 \'대한민국무용제\'로 발족하여 2019년...</dd>]', '[<dd>제40회 <strong class=""hl"">서울무용제</strong>가 시민들과 무용인이 함께하는 50일 간의 춤의 향연을 열었다. 한국무용협회가 주최하는 <strong class=""hl"">서울무용제</strong>는 1979년 대한민국무용제로 시작해 장르와 세대를 가리지 않고 매년 500명 이상의 무용수와 2만...</dd>]', '[]', '[]', '[]', '[]', '[<dd>올해 제40회 <strong class=""hl"">서울무용제</strong>가 13일 서울 대학로 아르코예술극장에서 개막했다. 조남규 한국무용협회 이사장의 개회선언으로 시작한 개막식은 흥보대사 위촉, 박종관 한국문화예술위원회 위원장, 조흥동 대한민국예술원...</dd>]', '[]', '[<dd>22일 서울 중구 한국프레스센터에서 열린 \'제 40회 <strong class=""hl"">서울무용제</strong>\'에서 조남규 한국무용협회 이사장, 김용남 <strong class=""hl"">서울무용제</strong> 후원회장, 김선정 <strong class=""hl"">서울무용제</strong> 총예술감독, 무용가 조하나, 배우 박은혜, 남성듀오 형섭X의웅을...</dd>]']"
0,서울지식이음축제 ,"['[]', '[<dd>2019 <strong class=""hl"">서울지식이음축제</strong>가 열린 24일 서울 세종대로 서울도서관을 찾은 시민들이 다양한 체험을 하고 있다. 사진=서동일 기자</dd>]', '[]', '[<dd>미래의 도서관을 기획하는 열띤 토론이 진행될 예정입니다. <strong class=""hl"">서울 지식이음 축제</strong>는 내일까지 진행됩니다. 이번 주말과 휴일 책과 함께 보내보는 것도 좋을 것 같습니다. 지금까지 서울도서관에서 연합뉴스TV 신세미입니다.</dd>]', '[]', '[]', '[<dd>역사문화광장 ▷<strong class=""hl"">서울지식이음축제</strong>=서울 중구 서울도서관·서울광장 ▷부산콘텐츠유니버시아드 (BCU)=부산 해운대구 부산콘텐츠코리아랩 센텀센터 ▷한림공원 국화축제=제주 제주시 한림공원 ▷한·아세안...</dd>]', '[<dd>박원순 <strong class=""hl"">서울</strong>시장이 21일 오후 <strong class=""hl"">서울</strong>시청에서 열린 \'2019 <strong class=""hl"">서울지식이음</strong>포럼·<strong class=""hl"">축제</strong>\'에 참석하고 있다. (<strong class=""hl"">서울</strong>시 제공) 2019.11.21/뉴스1</dd>]', '[]', '[]']"
0,코리아세일페스타 (Korea Sale FESTA) ,"['[]', '[<dd>(사진=LG전자) LG전자가 다음달 1일부터 22일까지 진행하는 \'<strong class=""hl"">코리아세일페스타(KOREA SALE FESTA)</strong>\' 쇼핑행사에 참여해 건강관리가전 등\xa015개 제품군을 선보인다고\xa029일 밝혔다. \'코리아세일페스타\'는 제조, 유통...</dd>]', '[]', '[]', '[]', '[]', '[<dd>LG전자가 다음 달 1일부터 22일까지 진행하는 \'<strong class=""hl"">코리아세일페스타(KOREA SALE FESTA)</strong>\' 쇼핑 행사에 참여한다고 29일 밝혔다. 서울 강서구 공항대로에 위치한 LG전자베스트샵 강서본점 매장에서 고객들이...</dd>]', '[]', '[]', '[]']"
0,서울국제음악제 ,"['[]', '[<dd>*\xa0▲ 브라질(한국 그리고 제주의 숨비소리 인 브라질전/제주특별자치도청 협력)\xa0▲ 덴마크(아스거\xa0욘전/국립현대미술관 협력)\xa0▲ 헝가리(죄르 필하모닉/<strong class=""hl"">서울국제음악제</strong> 협력) **\xa0광주 비엔날레(폴란드관 운영 사례)...</dd>]', '[<dd>2019 <strong class=""hl"">서울국제음악제</strong>가 ‘인간과 환경’을 주제로 다음달 8일까지 롯데콘서트홀, 예술의전당 콘서트홀, IBK홀, 일신아트홀과 JCC아트센터 콘서트홀에서 펼쳐진다. 10월 22일 죄르 필하모닉 오케스트라 공연으로 문을 연...</dd>]', '[<dd>\'2019 <strong class=""hl"">서울국제음악제</strong>\'가 22일부터 11월8일까지 롯데콘서트홀, 예술의전당 콘서트홀, IBK홀, 일신아트홀, JCC아트센터 콘서트홀에서 펼쳐진다. 4개의 관현악 콘서트와 6개의 실내악연주회로 구성된다. \'인간과 환경\'을...</dd>]', '[]', '[<dd>2019 <strong class=""hl"">서울국제음악제</strong>가 오는 22일부터 다음 달 8일까지 열린다. \'인간과 환경\'을 주제로 하는 올해 행사에서는 4개 관현악콘서트와 6개 실내악연주가 펼쳐진다. 폴란드 출신 세계적인 작곡가이자 지휘자인 크시슈토프...</dd>]', '[]', '[]', '[<dd>제 11회 <strong class=""hl"">서울국제음악제</strong> 개막 <strong class=""hl"">서울국제음악제</strong>가 오늘 시작돼 다음 달 8일까지 이어집니다. 개막공연은 지난 5월 헝가리 다뉴브강 유람선 사고의 희생자를 추모하는 공연으로 헝가리 죄르 필하모닉이 한국...</dd>]', '[<dd>4개의 관현악과 6개의 실내악 공연을 펼치는 2019 <strong class=""hl"">서울국제음악제</strong>(Seoul International Music Festival, SIMF), 지난 22일(화) 롯데콘서트홀에서 펼쳐진 화려한 개막 공연의 현장을 사진으로 담았다. 리허설, 피아니스트 일리야...</dd>]']"
0,서울빛초롱축제 ,"['[]', '[<dd>서울 청계천 부근에서 개최됐던‘<strong class=""hl"">서울빛초롱축제</strong>’는 이미11월 중순 마무리가 됐지만 부산의 해운대 빛축제는 내년2020년1월 말까지 계속된다.해운대해수욕장과 해운대광장에서 진행되는 이번 해운대 빛축제는 백사장...</dd>]', '[<dd>올해도 어김없이 청계천에서 열리는 <strong class=""hl"">빛초롱축제</strong>뿐만 아니라 다양한 볼거리가 보는 이들의 가슴을 설레게 한다. 대한문 앞 덕수궁 돌담길에서 시작해 덕수궁 분수대를 돌아 <strong class=""hl"">서울</strong>시립미술관에 이르는 500m 구간에서...</dd>]', '[<dd>성냥팔이 소녀와 매직카펫 라이드 청계천에서 진행된 2019 <strong class=""hl"">서울빛초롱 축제</strong>에 다녀왔습니다. 청사초롱 많이 달아서 색다르게 보입니다. 오즈의 마법사, 십이지신, 햇님달님, 호랑이, 신데렐라 마차,알라딘 등 여러가지...</dd>]', '[<dd>서울 청계천을 환하게 비추던 ‘2019 <strong class=""hl"">서울빛초롱축제</strong>(Seoul Lantern Festival 2019)’가 성황리에 막을 내렸다. 22일 서울관광재단(대표이사 이재성)에 따르면 초겨울인 11월 관광 비수기에 접어드는 시기에 이를 타개하고자...</dd>]', '[]', '[]', '[<dd>= 다음 달, 깊어가는 서울의 가을밤을 화려하게 수놓는 \'빛의 향연\'이 펼쳐진다.최근 <strong class=""hl"">서울빛초롱축제</strong>조직위원회는 오는 11월 1일부터 17일까지 청계천에서 \'2019 <strong class=""hl"">서울빛초롱축제</strong>\'가 열린다고 밝혔다.축제 기간 이곳을...</dd>]', '[<dd>기획 \'빛, 예술, 인간(Light, Art, Humanity)\'=대구예술발전소 2-4전시실, 로비, 야외공간/~11월 24일 ▷마오웬... 기념관 ▷<strong class=""hl"">서울빛초롱축제</strong>=서울 종로구 청계광장 ▷한림공원 국화축제=제주 제주시 한림공원(24일까지)...</dd>]', '[<dd>이번 주 금요일(1일) 초겨울의 분위기를 제대로 느낄 수 있는 \'<strong class=""hl"">서울 빛초롱축제</strong>\'가 열린다.\xa0서울시는 다음 달 1일부터 17일까지 청계천 광장부터 수포교까지 약 1.2km 구간을 화려한 등블로 장식하는 \'219 <strong class=""hl"">서울 빛초롱 축제</strong>...</dd>]']"
0,롯데월드 호러 할로윈 : The Invitation ,"['[]', '[<dd>더불어 <strong class=""hl"">롯데월드</strong> 어드벤처는 11월17일까지 가을 시즌 축제 \'<strong class=""hl"">호러할로윈</strong> <strong class=""hl"">The Invitation</strong>\'을 진행한다. 이번 축제에서는 후각, 촉각 등 심리적 공포를 이용해 중도포기율이 40%에 달하는 \'미궁X저택\'과 리얼 <strong class=""hl"">호러</strong> 4D 씨어터...</dd>]', '[]', '[]', '[]', '[<dd><strong class=""hl"">롯데</strong>호텔<strong class=""hl"">월드</strong>는 다음달 17일까지 가을철 호캉스족을 겨냥해 \'<strong class=""hl"">호러할로윈</strong> 더 인비테이션(Horror Halloween <strong class=""hl"">the Invitation</strong>)\'을 준비했다. \'<strong class=""hl"">호러할로윈</strong> 더 인비테이션\' 이용 고객은 <strong class=""hl"">롯데월드</strong> 어드벤처 개관 30주년 기념 <strong class=""hl"">할로윈</strong>...</dd>]', '[<dd>\'<strong class=""hl"">호러 할로윈</strong> <strong class=""hl"">The Invitation</strong>\'를 주제로 <strong class=""hl"">롯데월드</strong> 어드벤처에 좀비 바이러스를 퍼뜨린 주인공 \'빅 대디\'가 파티를 가장해 사람들을 폐허가 된 매직 아일랜드로 초대한다는 내용을 담았다. 올해 <strong class=""hl"">할로윈</strong> 축제는 뜨거운 인기에...</dd>]', '[]', '[]', '[]']"
0,소방관과 함께하는 119런 ,"['[]', '[<dd>바로 <strong class=""hl"">소방관</strong>들과 <strong class=""hl"">함께하는 119런</strong> 페스티벌이 펼쳐지고 있습니다. 먼저 인터뷰부터 나눠보도록 하겠습니다. &lt;인터뷰 : 박형준 / <strong class=""hl"">소방관</strong>&gt; &lt;질문 1&gt; 오늘 어떤 행사인지 직접 말씀해 주시겠어요? &lt;질문 2&gt; 지금 굉장히 다양한...</dd>]', '[]', '[]', '[<dd>16일 오후 서울 서대문구 신촌 연세로에서 열린 \'제2회 <strong class=""hl"">소방관과 함께하는 119런</strong>\' 행사에서 참가자들이 소방 방화복 체험을 하며 셀카를 찍고 있다. 2019.11.16/뉴스1</dd>]', '[<dd>강은태 기자, 유디치과협회(이하 유디치과)가 후원<strong class=""hl"">하는</strong> <strong class=""hl"">소방관과 함께하는</strong> ‘2019 <strong class=""hl"">런</strong> 히어로 페스티벌’이... 홍준성 <strong class=""hl"">119</strong>소방안전복지사업단 단장 등 주요내빈 10여 명과 <strong class=""hl"">소방관</strong> 및 의용소방대원, 일반인 등 약 2000여 명이...</dd>]', '[]', '[]', '[]', '[]']"
0,서점의 날 - 서점주간 ,"['[]', '[<dd>문화가 있는 <strong class=""hl"">날</strong> <strong class=""hl"">주간</strong>에는 지역 청년창업가와 독립<strong class=""hl"">서점</strong>이 만든 빵과 책을 즐길 수 있는 \'숲속책빵\' 행사가 오는 30일 충북 청주 도시재생지원센터에서 무료로 열린다. 또한 귀농인과 원주민의 소통을 위한 \'청도 소소...</dd>]', '[<dd>지역 청년창업가와 독립<strong class=""hl"">서점</strong>이 직접 만든 빵과 책을 즐기며 여유를 누려보고, ‘숲속책빵을 책으로... 문화가 있는 <strong class=""hl"">날</strong> <strong class=""hl"">주간</strong>에 도내 최대 규모의 아트페어 ‘아트제주 2019’(28일~12월 1일, 메종 글래드 제주)가 열린다....</dd>]', '[<dd>해당 <strong class=""hl"">주간</strong> 전시와 공연 등 2,506개의 문화행사가 열린다. \'11월 문화가 있는 <strong class=""hl"">날</strong>\'의 주요 행사를 살펴보면 26일... 있는 <strong class=""hl"">날</strong> 전국 주요 행사 오는 30일 충북 청주 도시재생지원센터에서는 지역 청년창업가와 독립<strong class=""hl"">서점</strong>이...</dd>]', '[<dd>(12:00~22:00, 도서 소진 시 종료) 온라인 \'도깨비책방\'은 11월~12월 매월 마지막 주 문화가 있는 <strong class=""hl"">날</strong>(수요일)에 <strong class=""hl"">주간</strong>별로 오픈된다. 지역<strong class=""hl"">서점</strong> 포털사이트 \'<strong class=""hl"">서점</strong>ON\'에 가입 후 유료관람권 및 지역<strong class=""hl"">서점</strong> 도서 구입 영수증을...</dd>]', '[]', '[<dd>있는 <strong class=""hl"">날</strong> 전국 행사 지도 [사진=문체부] 2019.11.25 starzooboo@newspim.com 지역 청년창업가와 독립<strong class=""hl"">서점</strong>이... 문화가 있는 <strong class=""hl"">날</strong> <strong class=""hl"">주간</strong> 도내 최대 규모의 아트페어 \'아트제주 2019\'(11.28~12.1 메종 글래드 제주)도 열린다. 국내외...</dd>]', '[]', '[]', '[]']"
