,축제명,축제주요내용
0,대한민국 산업기술 R&D대전 ,"['사업', '등', '적극적', '지원', '저', '3', '3차', '차', '지능', '로봇', '기본', '기본계획', '계획', '제조', '확대', '보급', '주요', '서비스', '서비스로봇', '분야', '집중', '육성', '서', '산업', '융합', '기술', '을', '한국', '한국물', '물', '증원', '유치', '확정', '공사', '권', '권영진', '영진', '대구', '대구시장', '시장', '기반', '대한', '대한민국', '민국', '세계', '수', '헌신', '러', '러스터', '스터', '입주', '2019', '에너지', '에너지대전', '대전', '참가', '절감', '통상', '통상자원부', '자원부', '주최', '한국에너지공단', '공단', '생산', '국내', '최대', '출력', '최고', '효율', '네온', '태양광', '모듈', '양면', '빛', '흡수', '삼성', '삼성전자', '전자', '3일', '일', '6', '6일', '경기', '고양', '고양시', '시', '일산', '텍스', '실', '실내기', '내기', '공간', '인버터', '적용', '기존', '제품', '연간', '운영비', '27', '열린', '국제', '국제물주간', '주간', '전시회', '참가해', '해', '경주', '경주시', '수', '수처리홍보관', '처리', '홍보관', '운영', '이번', '행사', '자체', '정화', '해외', '관계자', '소개', '관광', '관광안내', '안내']"
1,서울디자인페스티벌 ,"['예술', '예술경영지원센터', '경영', '지원', '센터', '아트', '굿', '굿즈', '즈', '편의점', '을', '국내', '디자이너', '세계', '진출', '2019', '서울', '디자인', '디자인페스티벌', '페스티벌', '통해', '28', '28일', '일', '의', '한편', '저', '18', '18회', '회', '서울디자인페스티벌', '은', '내달', '4', '4일', '코', '코엑스', '엑스', '홀', '개최', '예정', '프로', '프로모션', '모션', '모토', '브랜드', '기업', '국내외', '동향', '경쟁력', '10', '10년', '년', '후', '미래', '논의', '유명', '창업', '창업가', '전문가', '참여', '글로벌', '스타트', '스타트업', '업', '페스티', '동대문', '플라자', '컴', '컴업', '스타트업과', '업과', '투자자', '기업간', '간', '교류']"
2,서울무용제 ,"['서울', '용제', '2019', '서울특별', '서울특별시', '특별시', '시', '종로', '종로구', '구', '2019.10', '12', '2019.11', '29', '우수', '창작', '창작무용', '무용', '공연', '대한', '대한민국', '민국', '예술', '진흥', '기여', '설립', '1979', '1979년', '년', '로', '발족', '2019년', '저', '40', '40회', '회', '시민', '무용인', '50', '50일', '일', '간', '춤', '향연', '한국', '한국무용협회', '협회', '주최', '대한민국무용제로', '제로', '장르', '세대', '500', '500명', '명', '이상', '무용수', '2', '2만', '만', '올해', '제', '제40회', '13', '13일', '대학로', '아르코', '아르코예술극장', '극장', '개막', '조', '조남규', '남', '규', '이사장', '개회', '개회선언', '선언', '시작', '개막식', '흥보', '흥보대사', '대사', '위촉', '박', '박종관', '종관', '한국문화예술위원회', '문화', '위원회', '위원장', '조흥', '대한민국예술원', '예술원', '22', '22일', '중구', '한국프레스센터', '프레스', '센터', '열린', '김', '후원', '후원회장', '회장', '김선정', '선정', '총', '총예술감독', '감독', '무용가', '조하', '배우', '박은혜', '은혜', '남성', '남성듀오', '듀오', '형섭', '웅']"
3,서울지식이음축제 ,"['2019', '서울', '서울지식', '지식', '음', '음축제', '축제', '열린', '24', '24일', '일', '세종', '서울도서관', '도서관', '시민', '다양', '체험', '사진', '동일', '기자', '미래', '기획', '토론', '진행', '예정', '내일', '이', '이번', '번', '주말', '휴일', '책', '지금', '연합', '연합뉴스', '뉴스', '신세', '신세미', '미', '역사', '역사문화광장', '문화', '광장', '중구', '서울광장', '부산', '부산콘텐츠유니버시아드', '콘텐츠', '유니버시아드', '해운대', '해운대구', '구', '부산콘텐츠코리아랩', '코리아', '랩', '텀', '텀센터', '센터', '한림', '한림공원', '공원', '국화', '국화축제', '제주', '제주', '제주시', '시', '한', '아세안', '박원', '박원순', '순', '시장', '21', '21일', '오후', '시청', '포럼', '참석', '시', '제공', '2019.11', '뉴스1', '1']"
4,코리아세일페스타 (Korea Sale FESTA) ,"['사진', '전자', '다음달', '1', '1일', '일', '22', '22일', '진행', '코리아', '코리아세일페스타', '세일', '페', '스타', '쇼핑', '쇼핑행사', '행사', '참여', '건강', '건강관리', '관리', '전', '등', '015', '015개', '개', '제품', '제품군', '군', '029', '029일', '제조', '유통', '다음', '달', '29', '29일', '서울', '강서', '강서구', '구', '공항', '공항대로', '대로', '위치', '전자베스트샵', '베스트', '샵', '강서', '강서본점', '본점', '매장', '고객']"
5,서울국제음악제 ,"['0', '브라질', '한국', '제주', '숨', '숨비소리', '비', '소리', '브라질전', '전', '제주특별자치도청', '특별', '자치', '도청', '협력', '덴마크', '스거', '0욘전', '욘', '국립', '국립현대미술관', '현대', '미술관', '헝가리', '죄', '죄르', '르', '필', '필하모닉', '하모닉', '서울', '서울국제음악제', '국제', '음악제', '0광주', '광주', '비엔날레', '폴란드', '폴란드관', '관', '운영', '사례', '2019', '인간과', '환경', '을', '주제', '다음달', '8', '8일', '일', '롯데', '롯데콘서트홀', '콘서트홀', '예술', '전당', '홀', '일신', '일신아트홀', '아트', '아트센터', '센터', '10', '10월', '월', '22', '22일', '오케스트라', '공연', '문', '연', '11', '11월8일', '4', '4개', '개', '관현악', '콘서트', '6', '6개', '실내악', '실내악연주회', '연주회', '구성', '다음', '달', '올해', '행사', '관현악콘서트', '실내악연주', '연주', '출신', '세계적', '작곡가', '작곡가이자', '이자', '지휘자', '크시', '크시슈토프', '슈', '토', '프', '저', '11회', '회', '개막', '오늘', '시작', '개막공연', '5', '5월', '다뉴브', '다뉴브강', '강', '유람선', '사고', '희생자', '추모', '화', '화려', '현장', '사진', '리허설', '피아니스트', '일리']"
6,서울빛초롱축제 ,"['서울', '청계천', '부근', '개최', '서울빛초롱축제', '빛', '초롱', '축제', '11', '11월', '월', '중순', '마무리', '부산', '해운대', '빛축제', '내년', '내년2020년1', '2020', '년', '1', '말', '계속', '해운대해수욕장', '해수욕장', '해운대광장', '광장', '진행', '이번', '백사장', '올해', '빛초롱축제', '뿐', '다양', '볼거리', '이', '가슴', '대한문', '앞', '덕수궁', '돌담', '돌담길', '길', '분수대', '시립', '시립미술관', '미술관', '500', '구간', '성냥', '성냥팔', '팔', '소녀', '매직', '매직카펫', '카펫', '라', '라이드', '이드', '2019', '서울빛초롱', '청사', '청사초롱', '오즈', '마법사', '십이지', '십이지신', '신', '햇님', '햇님달님', '달님', '호랑이', '렐', '렐라', '마차', '알라딘', '등', '가지', '비추', '성황리', '막', '22', '22일', '일', '서울', '서울관광재단', '관광', '재단', '대표', '대표이사', '이사', '이재', '초겨울', '비수기', '시기', '타개', '다음', '달', '가을밤', '향연', '최근', '조직', '조직위원회', '위원회', '1일', '17', '17일', '기간', '이곳', '기획', '예술', '인간', '대구', '대구예술발전소', '발전소', '전시실', '로비', '야외', '야외공간', '공간', '24', '24일', '오', '기념관', '종로', '종로구', '구', '청계', '청계광장', '한림', '한림공원', '공원', '국화', '국화축제', '제주', '제주', '제주시', '시', '주', '금요일', '분위기', '수', '0', '0서울시', '서울시', '수포', '수포교', '교', '1.2', '화려', '로', '장식', '219', '빛초롱']"
7,롯데월드 호러 할로윈 : The Invitation ,"['롯데', '롯데월드', '월드', '어드벤처', '11', '11월17일', '월', '17', '일', '가을', '시즌', '축제', '할로윈', '을', '진행', '이번', '후각', '촉각', '등', '심리적', '공포', '이용', '중도', '중도포기', '포기', '40', '미궁', '저택', '과', '리얼', '4', '호텔', '다음달', '17일', '가을철', '호', '호캉스족', '캉스', '족', '겨냥', '인비', '인비테이션', '테', '이션', '준비', '고객', '개관', '30', '30주년', '주년', '기념', '주제', '비', '바이러스', '주인공', '빅', '대', '대디', '디', '파티', '가장', '사람', '폐허', '매직', '아일랜드', '초대', '내용', '올해', '인기']"
8,소방관과 함께하는 119런 ,"['소방관', '들', '119', '119런', '런', '페스티벌', '인터뷰', '박', '질문', '1', '오늘', '행사', '2', '다양', '16', '16일', '일', '오후', '서울', '서대문', '서대문구', '구', '촌', '연', '연세로', '세로', '열린', '저', '2회', '회', '참가자', '소방', '방화', '방화복', '복', '체험', '셀', '셀카', '카', '2019.11', '뉴스', '뉴스1', '강', '태', '기자', '유', '유디치과협회', '디', '치과', '협회', '이하', '유디치과', '후원', '2019', '히어로', '이', '홍', '홍준성', '준성', '소', '소방안전복지', '방안', '전', '복지', '사업단', '단장', '등', '주요', '주요내빈', '내빈', '10', '10여', '여', '명', '의용', '의용소방대원', '대원', '일반인', '2000', '2000여', '여', '명이']"
9,서점의 날 - 서점주간 ,"['문화', '날', '주간', '지역', '청년', '청년창업가', '창업', '독립', '서점', '이', '빵', '책', '수', '숲', '숲속책빵', '속', '행사', '30', '30일', '일', '충북', '청주', '도시', '도시재생지원센터', '재생', '지원', '센터', '무료', '귀농', '귀농인과', '인과', '원주민', '소통', '청', '소', '소소', '직접', '여유', '보고', '도내', '최대', '규모', '아트', '아트페어', '페어', '아트제주', '제주', '2019', '28', '28일', '12', '12월', '월', '1', '1일', '메', '메종', '종', '글', '글래드', '래드', '해당', '전시', '공연', '등', '2,506', '2,506개', '개', '문화행사', '11', '11월', '의', '주요', '26', '26일', '전국', '00', '22', '도서', '소진', '시', '종료', '온라인', '도깨비', '도깨비책방', '책방', '은', '마지막', '주', '수요일', '오픈', '포털', '포털사이트', '사이트', '가입', '후', '유료', '유료관람권', '관람권', '구입', '영수증', '지도', '사진', '문체', '문체부', '부', '2019.11', '25', '11.28', '12.1', '메', '메종', '도', '국내외']"
