"STD_YM","STD_YMD","festival_no","MAN_10","MAN_20","MAN_30","MAN_40","MAN_50","MAN_60","WMAN_10","WMAN_20","WMAN_30","WMAN_40","WMAN_50","WMAN_60"
"201509","20150918","1",343.889999999992,1107.8499999999,2366.46000000012,2328.52000000007,1693.61999999984,1029.85999999992,292.019999999996,1239.76999999987,1511.77999999986,1319.51999999989,1008.38999999993,687.159999999953
"201509","20150919","2",1216.94999999983,4972.05000000348,5184.12000000334,4224.94000000169,4354.79000000181,3310.95000000131,1198.17999999982,4440.39000000261,3778.05000000162,3271.39000000101,3373.24000000125,2398.26000000041
"201509","20150919","3",4267.21000000081,14654.3200000039,12208.3800000046,10099.7000000035,8881.8800000026,7026.85000000258,5547.40000000167,19595.8199999998,13094.9600000042,11447.5000000034,8488.84000000241,5764.54000000177
"201509","20150919","4",2906.7100000003,5186.41000000278,8392.54000000475,8596.57000000428,8269.89000000354,6173.510000003,2917.02000000032,5414.5200000029,7723.0300000041,7721.90000000354,7765.93000000344,5301.00000000239
"201509","20150929","5",1120.17999999983,2847.67000000014,2942.9600000002,2873.46000000014,2748.73000000008,2323.32999999991,1279.23999999975,3358.98000000019,2883.43000000014,2967.93000000011,2584.50000000004,1803.1399999997
"201509","20150929","6",1778.98999999971,7502.34000000145,8242.37000000171,8277.10000000157,7301.39000000127,6979.23000000125,2339.66000000004,8398.7200000019,7700.24000000128,8326.75000000123,7015.160000001,5287.560000001
"201510","20151003","7",1098.14999999989,1088.56999999976,1648.91999999967,2086.20999999967,1763.5099999997,1374.50999999978,1109.85999999988,1187.13999999975,1737.84999999969,2239.67999999986,1488.29999999976,1106.30999999983
"201510","20151011","8",1157.35999999983,4917.28000000032,4537.27000000042,4388.1700000005,4816.76000000055,3818.75000000058,1147.33999999981,4063.23000000074,3499.86000000056,3546.7600000004,3890.72000000062,2740.75000000023
"201510","20151015","9",4657.45000000153,20735.6599999969,17513.2800000021,13812.6200000041,9976.25000000268,6094.46000000184,6363.56000000181,23242.3599999964,12759.8400000042,9588.0300000023,6984.82000000204,4931.90000000157
"201510","20151016","10",9309.0600000018,13663.8600000035,13033.4500000035,12225.3700000031,9770.5500000026,7454.11000000156,10289.1400000022,18102.9000000005,14506.9400000037,12801.380000003,9334.07000000242,6622.0300000015
"201510","20151016","11",2317.11999999997,11069.0700000023,20116.1300000017,24750.269999999,20687.870000001,12409.9700000032,2795.51000000036,12044.010000003,12209.1800000034,12550.4600000026,9568.6500000024,6415.59000000096
"201510","20151023","12",1918.56999999975,2165.17999999992,5162.87000000244,6503.08000000263,5294.08000000184,3750.78000000108,1969.05999999976,2228.09999999999,3981.52000000128,4983.05000000181,3875.8800000011,3263.11000000099
"201510","20151024","13",1575.96999999984,3122.41000000074,5533.96000000186,5045.31000000166,5042.04000000173,3146.28000000067,1559.48999999983,2956.98000000062,4131.3700000012,3971.95000000105,4403.49000000132,3000.79000000063
"201511","20151106","14",2804.80000000004,12543.2700000029,27930.4100000037,32038.520000003,21660.2200000034,12357.9700000036,5538.92000000131,17490.4700000038,21255.7400000034,18476.2900000034,13011.8200000034,8210.1100000019
"201511","20151108","15",735.729999999931,1792.85999999971,2898.74000000052,2481.33000000028,2358.14000000018,2110.8399999999,906.679999999924,2001.57999999972,2404.71000000018,2235.87000000008,2350.05000000014,2093.46999999986
"201511","20151112","16",2847.09999999999,11319.7600000028,27862.2800000041,31876.540000003,21441.1600000035,12314.5100000032,5020.78000000099,16681.7400000034,20942.9700000031,18017.8000000039,12465.2600000034,8001.22000000174
"201511","20151112","17",2847.09999999999,11319.7600000028,27862.2800000041,31876.540000003,21441.1600000035,12314.5100000032,5020.78000000099,16681.7400000034,20942.9700000031,18017.8000000039,12465.2600000034,8001.22000000174
"201511","20151114","18",6580.45000000034,27337.8500000016,34283.260000002,43869.5100000016,33131.410000002,17556.8600000026,8320.97000000041,28210.9800000013,22808.8500000018,26994.8200000018,19815.1300000016,10905.6100000012
"201511","20151114","19",6990.69000000217,4971.93000000224,5875.07000000316,9106.92000000399,7107.7100000028,4228.46000000155,6937.89000000208,5493.29000000276,6553.46000000383,11904.1000000051,7566.59000000313,4552.34000000191
"201511","20151120","20",3901.77000000004,30015.4800000022,63176.0200000033,66187.1900000004,44666.1600000023,25596.9000000029,7163.49000000047,44454.2000000019,47266.7400000021,36878.2700000028,26381.410000002,16168.310000002
"201511","20151123","21",2687.04999999986,22694.3800000014,54972.8700000031,59681.8400000017,39163.9900000022,22762.1100000025,4816.83000000016,32780.7500000028,36711.100000003,29217.1400000019,21292.5100000017,13711.8500000019
"201512","20151201","22",1380.3499999998,3664.02000000049,7987.20000000174,8890.88000000203,6914.05000000152,4915.83000000099,1486.54999999975,4728.11000000091,5470.81000000096,5361.33000000088,4568.08000000095,3364.36000000044
"201512","20151202","23",2637.90000000015,9440.40000000166,24013.6099999999,22903.7099999998,13850.400000002,7677.17000000097,2314.21000000003,13036.3400000018,14737.6300000022,10783.7300000016,7503.85000000089,5178.38000000052
"201512","20151204","24",778.689999999957,7101.8700000005,17965.2300000029,18514.5100000031,13196.3200000028,6926.01000000119,1461.89999999982,9576.57000000121,10172.5900000016,7505.16000000058,5593.36000000037,3487.16000000009
"201512","20151209","25",5062.31000000105,23191.3299999977,18836.0199999979,14303.4600000036,9616.67000000239,6256.32000000147,9148.92000000165,27918.1099999984,14172.6500000035,10810.2300000027,7673.2400000014,5255.69000000123
"201512","20151216","26",3265.75000000032,10218.2800000017,24651.1600000001,23676.4099999994,14564.7400000022,7861.04000000104,2853.80000000027,14665.3500000023,16694.0300000022,11809.2300000018,7853.66000000083,5215.1500000006
"201512","20151219","27",2576.86000000036,5349.93000000352,6986.26000000412,7540.60000000356,6297.59000000291,4302.08000000164,2681.25000000048,5087.99000000299,5930.35000000348,6298.8900000029,4959.83000000247,3724.69000000144
"201512","20151219","28",2886.60000000047,6127.89000000519,5786.40000000399,5617.30000000306,4881.22000000196,3647.06000000105,3176.99000000102,7124.4700000056,5626.53000000425,6480.38000000367,5099.70000000266,3494.39000000096
"201512","20151225","29",2516.02000000024,10557.9600000023,10169.7300000021,6744.73000000168,5515.94000000138,3869.3000000005,2720.99000000026,12351.5900000022,9189.8200000019,6565.79000000161,5075.19000000122,3884.35000000049
"201512","20151225","30",15070.9900000036,34786.5599999979,14458.6700000046,9544.38000000302,7942.06000000171,5509.29000000147,25034.7199999976,35611.5299999978,12053.4800000042,9679.23000000286,7015.97000000171,5260.51000000152
"201601","20160103","31",776.479999999924,4055.58000000071,3878.45000000062,3560.63000000046,4041.30000000068,3394.79000000058,813.329999999904,3392.43000000065,2799.90000000022,2778.78000000016,3172.11000000037,2756.17000000022
"201601","20160109","32",2697.06000000011,2396.48999999986,4015.86000000104,4373.25000000155,3861.34000000123,2857.26000000038,2424.68000000005,2325.72999999978,3391.51000000041,4961.57000000202,3400.31000000055,2659.47000000011
"201601","20160114","33",1902.8699999998,8656.86000000129,22735.2100000008,22607.5500000006,14086.2600000026,8392.92000000168,2113.68999999983,11896.7400000023,14534.1100000023,10818.6100000018,7219.48000000109,5544.78000000103
"201601","20160115","34",143.360000000001,266.240000000001,435.929999999962,528.679999999964,502.269999999968,445.879999999966,146.590000000001,272.779999999998,393.249999999971,445.20999999997,448.879999999968,377.829999999972
"201601","20160115","35",1329.98999999987,2633.90000000053,4457.20000000148,4911.62000000144,4006.50000000098,3260.86000000085,1498.15999999984,2687.80000000062,3917.29000000122,4027.40000000105,3558.96000000095,3222.8300000009
"201601","20160115","36",180.000000000002,414.269999999932,606.399999999912,723.039999999908,661.65999999993,520.079999999954,192.599999999999,473.719999999932,470.909999999952,590.139999999934,494.719999999951,392.189999999976
"201601","20160115","37",2241.2099999999,3445.75000000094,6467.89000000312,7784.12000000341,7825.45000000307,6120.28000000208,2009.59999999981,3584.23000000134,5210.98000000216,5988.30000000205,6569.72000000199,5222.70000000183
"201601","20160115","38",2174.4499999998,19693.1600000027,46905.3499999945,46837.4999999946,32052.8400000027,21417.5100000039,3886.59000000041,32176.5000000025,37147.4099999958,28862.5900000022,21989.3300000026,15948.8100000038
"201602","20160222","39",1050.69999999987,8054.44000000159,15528.8000000046,19696.3200000018,17365.7000000027,12257.5500000029,1213.20999999981,8495.84000000203,10327.750000003,9844.38000000228,7976.21000000142,6195.52000000095
"201603","20160315","40",178449,235109,391631,509351,476521,476117,173224,289780,393717,550852,476182,455630
"201604","20160410","41",202848,493594,748860,733528,724868,597672,226130,571208,642032,618082,601956,475584
"201604","20160415","42",760034,1487762,2339026,2554456,2125548,1673426,925870,1600904,2081446,2118694,1955918,1684276
"201604","20160418","43",86230,499754,1504700,1876602,1585344,1212344,103100,637124,886510,764272,647000,577954
"201604","20160423","44",352954,1426074,1534488,1412372,1500418,1351164,357584,1387280,1034162,950312,1006068,953756
"201604","20160428","45",177572,885724,2562398,3059502,2619740,1960830,210078,1109672,1526262,1282038,1072892,945752
"201604","20160430","46",3338114,2956248,3393058,4152070,3526442,2278632,3063264,2961460,3734748,5764428,3663830,2229798
"201604","20160430","47",430500,501762,738562,846402,836932,840386,402132,627578,693242,959168,977340,898678
"201605","20160510","48",65907,338274,566662,745838,681180,496491,83424,381826,370675,360435,308963,245763
"201605","20160515","49",41649,167159,170543,154355,165151,213803,48956,152373,123218,119235,139575,129864
"201605","20160518","50",74855,209007,553205,559190,361621,254174,59787,290107,347248,265288,182333,151413
"201605","20160519","51",88904,207962,342045,374310,299067,272429,79424,275621,257709,239148,196320,175101
"201605","20160520","52",89079,217873,367956,364013,314487,196407,89940,241461,269989,259198,218316,157213
"201605","20160520","53",113299,358719,713718,603630,412527,312034,130958,592719,653544,445033,282349,268417
"201605","20160521","54",324078,1320836,597559,413813,367814,312511,373832,1388487,532770,444226,358175,286304
"201605","20160521","55",60970,185991,194794,152695,152180,103745,66406,197837,161064,143865,138767,101261
"201605","20160521","56",110801,383344,481301,430303,383836,334381,183208,537502,516586,459426,349506,253282
"201605","20160527","57",88975,239773,570122,563681,370020,272200,75206,315498,374746,291734,190715,165640
"201605","20160528","58",66666,154982,267140,288670,280303,228219,82710,173837,225693,227448,227999,165523
"201605","20160528","59",110981,133661,199938,220842,210477,179623,117313,152310,172757,216159,150759,139230
"201605","20160529","60",85989,128260,177641,193142,169809,165836,88242,141088,176994,202573,144936,149201
"201605","20160529","61",101406,178302,271263,271838,233699,190472,73065,159678,222827,220650,187315,158352
"201606","20160602","62",2154.19999999982,11969.830000003,17818.8100000029,21693.1400000007,18946.2300000016,13337.0700000031,2795.6600000003,13701.550000004,12514.2500000038,12187.3400000029,9979.58000000273,7245.09000000083
"201606","20160603","63",3805.58000000013,18289.4100000024,42173.0100000012,44259.8100000004,29962.3000000023,18294.7600000027,6194.00000000057,27128.3700000026,32003.4900000025,26070.1900000031,17322.9200000021,12054.3200000012
"201606","20160603","64",2099.02999999987,3400.0900000006,5581.2500000023,5981.46000000253,6349.95000000199,5120.61000000152,2154.29999999989,3531.37000000085,4832.33000000178,5754.81000000203,6384.29000000202,4993.8100000017
"201606","20160610","65",2966.37000000013,10408.5500000031,25578.7200000039,29351.9500000028,20847.370000003,13043.6200000035,5786.00000000107,16224.5200000042,20833.0700000033,19019.7300000027,12568.8700000031,8978.88000000272
"201606","20160610","66",2488.38999999984,22144.720000001,55516.5300000039,58787.6600000042,39319.2100000027,24421.1100000013,4380.55000000017,34887.2200000014,42777.040000003,33875.4000000016,23527.980000001,16864.1300000013
"201606","20160611","67",1287.24999999988,4135.63000000029,5030.25000000024,4246.64000000024,4109.28000000029,2822.55000000005,1390.61999999986,4362.68000000027,4110.64000000029,3820.62000000021,3820.51000000022,2795.39000000007
"201607","20160701","68",4709.29000000107,20961.5100000013,33895.3399999968,31562.4599999963,28749.2399999974,22378.0199999987,4502.4300000011,24015.2900000001,25965.9899999996,24656.0400000001,22259.8800000002,15918.8100000059
"201607","20160702","69",5636.29000000037,30055.820000003,33292.4200000031,29003.5400000033,26455.7600000027,22447.3400000029,7429.40000000073,37606.6400000021,33501.3100000027,28412.3300000028,26654.300000003,20578.6000000029
"201607","20160702","70",2719.76000000042,11422.1800000054,8840.03000000382,7336.56000000248,6842.11000000235,5907.24000000196,3265.5500000007,15205.2300000058,8541.39000000333,7757.1300000026,7070.94000000244,5839.66000000214
"201607","20160702","71",1982.58999999975,3815.04000000107,5889.43000000237,5832.9800000019,4677.44000000129,3801.69000000063,2154.85999999978,4359.86000000152,4671.02000000157,4711.65000000131,3742.0000000007,3203.98000000038
"201607","20160715","72",4169.03000000108,3798.98000000107,7065.23000000331,7742.79000000315,5961.43000000257,4754.27000000166,3503.19000000062,4120.83000000135,5746.20000000237,7639.6900000029,5336.12000000199,4615.51000000137
"201607","20160728","73",2258.83999999988,7727.04000000504,8317.06000000457,8020.30000000324,5896.77000000265,4010.2000000009,2887.20000000054,9117.48000000564,6676.53000000355,6004.90000000254,4689.56000000181,3576.07000000065
