STD_YM|STD_YMD|festival_no|MAN_10|MAN_20|MAN_30|MAN_40|MAN_50|MAN_60|WMAN_10|WMAN_20|WMAN_30|WMAN_40|WMAN_50|WMAN_60
201508|20150821|1|854.90999999995|3079.89000000014|5916.37000000051|5724.79000000051|3587.58000000034|2031.50999999975|664.829999999964|3033.05000000015|3098.87000000021|2522.11999999999|1780.73999999981|1245.44999999988
201508|20150822|2|1030.36999999989|4123.8900000026|4429.50000000258|3825.38000000139|3920.5000000016|2716.13000000083|1059.87999999986|3787.08000000187|3342.04000000136|2894.90000000093|2994.17000000113|2038.70999999966
201508|20150822|3|3413.17000000065|11846.4400000034|11133.9200000035|9373.55000000239|8217.89000000197|6884.40000000244|4352.86000000101|15936.7400000033|11360.7000000036|10479.840000003|8320.68000000174|5676.12000000172
201508|20150822|4|2517.11000000004|4723.92000000237|7608.97000000411|7921.60000000398|7662.44000000346|5465.0300000025|2600.82000000008|4812.11000000275|7021.06000000368|7267.38000000323|7068.76000000328|4601.75000000162
201509|20150901|5|1362.2899999998|3526.73000000028|8254.42000000194|9590.0200000026|7847.6200000018|6099.56000000131|1460.04999999977|4906.7400000008|5727.88000000132|5819.77000000123|5124.91000000127|3939.52000000075
201509|20150901|6|1984.42999999972|10381.1300000031|24576.7200000007|29018.2699999988|22711.9199999986|17017.030000004|3027.15000000042|13231.3200000046|15887.7500000052|15928.7400000047|13856.7200000045|10369.6500000037
201509|20150905|7|1177.3899999999|1066.22999999978|1803.26999999966|2209.52999999978|1943.77999999967|1512.74999999976|1150.1899999999|1194.82999999975|1738.7099999997|2495.65|1582.36999999974|1306.8199999998
201509|20150913|8|1234.28999999985|5060.6400000004|5187.84000000053|4911.74000000063|4766.89000000068|3914.01000000077|1245.81999999983|4618.64000000054|3993.74000000064|3882.4600000005|3788.75000000049|2799.92000000037
201509|20150917|9|3555.93000000101|20621.4599999974|16304.5400000048|13667.570000004|9367.10000000262|6150.00000000163|5430.12000000124|23359.5799999971|12593.0300000041|9476.16000000206|6698.31000000165|4954.85000000149
201509|20150918|10|5806.58000000133|14462.7000000034|13872.0400000039|13452.0600000035|11074.8400000034|9102.99000000349|6424.58000000128|19645.3200000003|15533.9700000033|13586.3100000032|10566.2000000026|7528.18000000229
201509|20150918|11|1966.65999999968|11961.0800000028|20865.7500000015|26486.6599999986|21655.2600000002|13107.5500000034|2758.10000000041|12985.9800000033|13056.1300000035|13174.3000000032|10465.6400000029|6691.44000000104
201509|20150925|12|1489.72999999983|2435.85000000063|5358.70000000272|6674.2400000022|5502.09000000167|3893.63000000118|1617.69999999981|2561.77000000069|4147.03000000144|4837.99000000153|4042.58000000112|3197.50000000091
201509|20150926|13|1322.49999999983|2967.09000000046|4721.17000000158|4244.33000000123|4640.49000000149|3323.28000000048|1082.91999999986|2762.80000000042|3660.46000000096|3409.3200000008|3967.07000000093|2772.82000000034
201510|20151009|14|2863.93999999981|7298.4800000015|10960.2100000025|11424.5800000028|9329.41000000196|6874.78000000164|4035.93|8898.31000000178|11094.3700000021|10588.470000002|7542.40000000178|4965.52000000115
201510|20151011|15|842.769999999927|1667.96999999975|2649.75000000029|2437.04000000016|2356.6400000001|2120.86999999994|1010.34999999991|1951.40999999972|2459.70000000016|2315.08000000006|2577.81000000019|2243.93000000005
201510|20151015|16|2857.35999999992|11249.2200000027|29516.4000000039|34593.4800000019|22651.3500000034|12911.3700000038|5441.38000000115|16274.2700000035|21789.9800000039|18873.1800000034|13171.850000003|8157.0000000018
201510|20151015|17|2857.35999999992|11249.2200000027|29516.4000000039|34593.4800000019|22651.3500000034|12911.3700000038|5441.38000000115|16274.2700000035|21789.9800000039|18873.1800000034|13171.850000003|8157.0000000018
201510|20151017|18|4397.93000000014|18126.6600000015|23428.8800000023|21635.5400000023|19394.5500000022|14170.3100000018|6510.48000000039|23509.9900000023|23013.9800000018|21227.7600000021|16153.5100000016|9529.66000000105
201510|20151017|19|6836.38000000181|4722.92000000204|5990.32000000289|9147.00000000371|7259.53000000273|4386.77000000149|6730.96000000188|5139.2000000025|6969.05000000321|12504.6200000051|7701.84000000306|4788.0700000021
201510|20151023|20|4232.24000000024|28160.8900000018|63553.3700000018|65888.4499999993|44153.7000000018|25087.0100000024|7400.29000000049|41721.7700000036|46827.1600000027|35928.8500000021|25791.1500000019|15408.6000000015
201510|20151026|21|1924.94999999978|22468.5000000017|57925.4900000021|63244.7700000016|41464.6200000025|24188.1400000023|3905.62000000008|33336.6300000023|38873.2900000026|30593.2100000022|23586.5700000019|15153.9700000016
201511|20151103|22|1295.6399999998|3620.08000000032|7970.70000000198|9030.02000000228|7176.25000000157|4988.510000001|1496.71999999972|4789.29000000096|5354.01000000105|5393.82000000104|4634.99000000091|3371.04000000029
201511|20151104|23|2293.83999999995|13369.910000002|34928.2500000011|33388.9900000004|19249.6600000003|10575.3300000018|2230.76999999986|17915.8900000013|21513.9900000003|15286.8100000021|10026.9400000015|6797.86000000138
201511|20151106|24|918.189999999922|7629.56000000053|18846.1900000029|19344.0400000026|13689.740000003|6986.71000000128|1223.14999999987|9103.33000000093|10367.1700000015|8172.53000000086|6064.93000000054|3693.08000000016
201511|20151111|25|4602.64000000114|22854.9299999988|16665.8600000036|12256.7000000035|8333.49000000182|5473.98000000154|8910.23000000185|26741.8599999984|13037.5800000037|9372.33000000211|6775.13000000166|4763.03000000119
201511|20151118|26|3450.30000000019|14604.570000002|35574.9700000007|34725.6000000001|21778.8100000005|11594.5700000022|3724.48000000031|20619.3700000006|22547.37|17415.4800000008|11980.1800000017|7738.45000000138
201511|20151121|27|3022.7300000009|5787.59000000339|7162.95000000418|7447.19000000326|6184.27000000293|4397.57000000188|2613.35000000044|5620.60000000335|6198.57000000353|6268.99000000274|5461.39000000281|4043.00000000162
201511|20151121|28|3202.9600000008|6573.92000000432|5673.0900000033|5606.12000000232|4879.68000000203|3536.61000000094|3281.50000000106|7422.00000000504|5769.89000000347|6328.13000000292|4960.58000000193|3607.60000000113
