축제명,0,1,2,3,4,5,6
대한민국 산업기술 R&D대전 ,한국,국내,대한민국,행사,주최,전시,세계
서울디자인페스티벌 ,페스티벌,기업,서울,국내,예술,세계,참여
서울무용제 ,예술,한국,서울,대한민국,문화,공연,주최
서울지식이음축제 ,서울,축제,광장,공원,문화,역사,시민
코리아세일페스타 (Korea Sale FESTA) ,행사,참여,서울,사진,진행,한국,국내
서울국제음악제 ,서울,공연,음악,세계,한국,주제,행사
서울빛초롱축제 ,서울,축제,광장,예술,공원,대표,개최
롯데월드 호러 할로윈 : The Invitation ,축제,주제,진행,프로그램,세계,국내,공원
소방관과 함께하는 119런 ,서울,행사,다양,체험,페스티벌,오후,기자
서점의 날 - 서점주간 ,도시,문화,행사,지역,사진,국내,공연
조계사 국화향기 나눔전 ,축제,주제,구청장,서울,개최,프로그램,국내
서울서점페어 ,서울,축제,지역,개최,행사,국내,진행
서울 코믹월드 ,전시,기업,기자,서울,대표,거리,축제
서울사진축제 ,기업,행사,한국,우리,축제,기자,국내
서울평화문화축제 ,예술,문화,축제,참여,서울,개최,주제
아이오닉 롱기스트런 ,이벤트,서울,대회,행사,기업,프로그램,국내
경북착한사과 페스티벌 ,행사,광장,서울,문화,공연,개최,전국
아시아나국제단편영화제 ,국내,작품,축제,한국,세계,문화,개최
서울김장문화제 ,서울,문화,광장,행사,대표,기업,개최
글로벌 프렌즈쉽 페스티벌 ,축제,문화,공원,어린이,서울,한국,무대
석촌호수 더북&단풍축제 ,거리,축제,서울,다양,구청장,한국,국내
강동톡페스티벌 ,지역,문화,축제,행사,도시,서울,개최
인서울마켓 ,서울,기업,대표,무대,음악,가족,오후
서울미래연극제 ,서울,공연,예술,문화,축제,광장,주최
경복궁 생과방 ,문화,한국,전통,행사,음악,체험,프로그램
남대문 3GO 야시장 ,서울,문화,거리,일대,공연,진행,구청장
문화가 흐르는 서울광장 ,공연,서울,광장,거리,전국,우리,진행
서울시민시장 위크(Week) ,기업,개최,축제,시민,서울,문화,참여
생활예술인 페어 ,서울,문화,대표,예술,개최,다양,사진
청룡문화제 ,문화,서울,공원,축제,개최,주최,구청장
한마음 걷기축제 ,공원,축제,시민,광장,한국,기자,무대
양재플라워페스타 ,사진,시민,개최,도시,한국,프로그램,국내
창덕궁 달빛기행 ,문화,행사,한국,오후,서울,개최,진행
창덕궁 달빛기행 ,문화,행사,한국,오후,서울,개최,진행
정동야행 ,서울,축제,문화,일대,오후,주제,프로그램
KYMF 대한민국청소년미디어대전 ,서울,문화,축제,역사,주제,공원,광장
유진예술포차 ,예술,서울,지역,공원,주민,사진,제공
종로청년숲 ,공원,시민,서울,개최,다양,이벤트,예술
서울억새축제 ,축제,공원,서울,일대,가족,참여,국내
꽃길만 걸어요 ,한국,기업,어린이,세계,국내,주제,공원
그랜드민트페스티벌 2019 (GMF 2,공원,서울,국내,페스티벌,음악,참여,기업
성북진경축제 ,축제,문화,세계,개최,역사,지역,사진
마켓을 여행하다 ,세계,개최,대표,기업,프로그램,국내,주제
여행페스타 ,서울,개최,행사,국내,주제,기업,한국
마포나루 새우젓축제 ,축제,제공,사진,전국,구청장,기자,세계
서울세계무용축제 ,세계,서울,페스티벌,광장,거리,예술,한국
정동문화축제 ,축제,문화,서울,거리,전시,개최,행사
영크리에이터스 마켓 <10월 마주치장> ,문화,공원,서울,거리,기업,프로그램,국내
인쇄문화축제 ,광장,축제,서울,문화,공연,공원,한국
모두하나대축제 ,축제,서울,가족,광장,기자,시민,문화
관악 강감찬축제 ,공원,축제,시민,주제,구청장,일대,참여
생생문화재 양화진 뱃길탐방 ,문화,서울,축제,참여,지역,일대,프로그램
선인장페스티벌 ,서울,페스티벌,개최,국내,다양,시민,기자
허준축제 ,축제,공원,대표,서울,개최,공연,사진
용마폭포 문화예술축제 ,예술,문화,축제,작품,광장,서울,개최
사랑-인도문화축제 ,문화,축제,행사,전통,서울,지역,도시
서울국제작가축제(2019 Seoul International Writers Festival) ,기업,어린이,세계,국내,주제,공원,대표
도심속 바다축제 ,문화,페스티벌,축제,체험,참여,예술,공원
강동선사문화축제 ,축제,문화,서울,예술,구청장,진행,일대
서울 보드게임 페스타 ,서울,문화,전시,주관,한국,축제,가족
이태원 지구촌축제 ,축제,문화,이벤트,일대,참여,구청장,서울
한양도성문화제 ,서울,공원,시민,문화,축제,주제,기자
서울아리랑페스티벌 ,서울,예술,광장,페스티벌,오후,공연,사진
자문밖문화축제 ,문화,축제,예술,서울,지역,진행,사진
서울무형문화축제 ,문화,축제,서울,체험,전통,기자,프로그램
가락몰 페스티벌 ,서울,문화,개최,행사,페스티벌,시민,무대
궁중과 사대부가의 전통음식축제 ,축제,전통,문화,서울,개최,시민,구청장
서울분장페스티벌 ,체험,문화,서울,축제,페스티벌,국내,대회
서울약령시 보제원 한방문화축제 ,행사,축제,체험,서울,문화,주제,사진
구로청소년축제 ,축제,예술,공원,구청장,서울,개최,행사
서울 드론 챌린지 2019 (Seoul Drone Challenge 2,기업,어린이,세계,국내,주제,공원,대표
북한산 韓문화 페스티벌 ,문화,축제,체험,페스티벌,개최,공연,음악
한글가족축제 ,축제,가족,전시,체험,문화,행사,다양
한글문화큰잔치 ,문화,무대,체험,광장,예술,행사,프로그램
도봉한글잔치 ,문화,서울,공원,역사,한국,지역,사진
한강 서래섬 메밀꽃축제 ,서울,공원,축제,한강,주최,일대,가족
신촌국제꽃시장 ,예술,시민,축제,다양,제공,참여,행사
서울뮤직페스티벌(SMUF) ,음악,서울,광장,공연,페스티벌,주제,진행
대한민국 나눔대축제 ,축제,공원,참여,대한민국,광장,주최,기자
노원 탈축제 ,축제,참여,서울,개최,문화,주제,주민
서울와우북페스티벌 ,거리,페스티벌,문화,기업,서울,행사,예술
서울거리예술축제 ,서울,문화,예술,축제,전시,작품,주민
광나루어울마당 ,축제,행사,구청장,오후,체험,참여,개최
강남페스티벌 ,기업,서울,지역,행사,한국,페스티벌,가족
효창원독립평화축제 ,축제,공원,시민,예술,참여,행사,오후
한화와 함께하는 서울세계불꽃축제 ,축제,한강,공원,세계,서울,프로그램,오후
은평누리축제 ,축제,참여,문화,주민,구청장,전시,주제
경복궁 시식공감 ,문화,공연,체험,한국,전통,행사,진행
한국민속예술축제 및 전국청소년민속예술제 ,예술,축제,사진,제공,한국,서울,전국
개천절 대제전 ,서울,기업,프로그램,세계,국내,주제,공원
서울뮤직시티커넥션 ,서울,음악,페스티벌,도시,참여,시민,무대
도봉산 페스티벌 ,페스티벌,축제,서울,개최,주민,진행,일대
구로G페스티벌 ,서울,축제,대회,문화,전통,공연,지역
한성백제문화제 ,축제,문화,서울,대표,구청장,프로그램,국내
서울국악축제 ,전통,행사,페스티벌,예술,축제,서울,대표
염리동 소금 축제 염리동 愛(애) 소금꽃 피다! ,문화,주민,축제,공연,전통,주최,체험
서서울호수공원 수상음악축제 ,서울,음악,축제,공원,개최,공연,무대
서울스트릿댄스 페스티벌 ,페스티벌,오후,서울,개최,지역,주민,전국
제로원데이(ZER01NE DAY) ,기업,서울,개최,행사,다양,사진,제공
라틴아메리카축제 ,축제,구청장,체험,행사,주최,참여,다양
종로청계관광특구 육의전 축제 ,축제,개최,행사,체험,거리,구청장,한국
서초서리풀페스티벌 ,한국,페스티벌,축제,진행,대한민국,거리,일대
서울 문화원 엑스포 ,서울,문화,전통,광장,오후,행사,전국
실버문화 페스티벌 ,문화,프로그램,주관,개최,행사,페스티벌,참여
영크리에이터스 마켓 <9월 마주치장> ,기업,어린이,세계,국내,주제,공원,대표
"고려인삼 페스티벌 우리라서 삼, 좋다 ",대회,우리,지역,역사,개최,프로그램,서울
세계거리춤축제 ,축제,서울,세계,문화,거리,예술,주제
종로한복축제 ,축제,구청장,주민,서울,행사,진행,공원
