STD_YM|STD_YMD|festival_no|MAN_10|MAN_20|MAN_30|MAN_40|MAN_50|MAN_60|WMAN_10|WMAN_20|WMAN_30|WMAN_40|WMAN_50|WMAN_60
201509|20150904|1|1217.15999999994|3188.45000000033|6120.52000000086|6131.13000000072|4262.58000000034|2395.04000000002|3858.77000000019|4269.92000000042|3779.48000000028|3471.84000000029|2341.45000000003|1530.76999999987
201509|20150905|2|1173.80999999984|4622.71000000294|5029.26000000302|4147.6500000017|4495.33000000211|3288.19000000133|1161.58999999984|4198.57000000231|3599.39000000155|3106.68000000106|3383.26000000126|2326.4700000003
201509|20150905|3|3904.79000000088|13869.850000004|11676.680000004|9477.21000000327|8666.8800000025|6744.64000000264|5001.95000000138|17556.910000001|11298.5500000041|10515.2500000036|8505.71000000239|5659.74000000214
201509|20150905|4|2811.10000000026|5050.99000000262|8213.51000000403|8580.42000000445|8163.06000000374|6030.55000000319|2885.84000000027|5134.95000000291|7582.51000000417|7727.37000000378|7748.36000000361|5205.67000000237
201509|20150915|5|1233.44999999981|3522.80000000027|7951.17000000146|8868.44000000215|6854.50000000157|4948.63000000104|1406.51999999976|4622.16000000054|5420.55000000097|5325.78000000085|4550.74000000072|3201.63000000029
201509|20150915|6|2207.33999999993|10303.6900000031|24336.8200000025|28007.8400000005|20901.9500000008|15103.4400000053|3345.10000000037|13811.1000000049|16111.9500000052|16264.3900000047|13942.2800000041|9480.53000000293
201509|20150919|7|1129.72999999989|1171.99999999978|1912.35999999967|2415.83999999986|2072.82999999969|1584.76999999974|1216.73999999987|1365.24999999973|1795.9599999997|2451.74999999995|1675.40999999974|1319.3999999998
201509|20150927|8|1065.87999999989|2692.34000000021|3909.33000000059|4170.21000000065|3267.42000000071|2955.85000000052|1042.42999999988|2655.46000000025|3873.38000000059|4085.51000000063|3253.71000000052|2673.15000000029
201510|20151001|9|3618.69000000111|19888.8999999965|16086.1800000046|12865.3300000036|8900.45000000255|5663.64000000165|5590.61000000165|21084.9399999971|11032.5200000036|8870.5900000021|6303.98000000165|4609.06000000142
201510|20151002|10|4329.14000000114|12090.840000004|11705.750000004|10663.8400000035|8993.34000000279|7503.77000000278|4920.2200000015|16529.9500000032|12267.8800000038|10409.8400000033|8224.89000000214|6383.68000000235
201510|20151002|11|1605.77999999971|10728.7600000026|17490.5500000034|21635.0600000017|17794.2600000027|10964.1000000032|2124.64999999973|10401.9100000027|10488.7000000031|10470.4200000026|8432.54000000204|5700.9400000014
201510|20151009|12|1588.44999999974|2197.70999999998|4023.86000000134|4818.16000000183|3613.07000000113|2823.84000000079|1832.83999999971|2488.69000000051|5093.37000000189|4760.29000000171|3181.18000000086|2680.11000000063
201510|20151010|13|1516.51999999984|2802.43000000055|4748.29000000151|4504.51000000116|4841.62000000135|3246.21000000056|1473.88999999984|2637.40000000033|3882.77000000105|3942.78000000092|4676.48000000149|3041.90000000054
201510|20151023|14|3938.59000000055|12255.8000000028|28841.9900000037|33265.4800000027|22268.8200000037|12353.9600000032|6801.1400000013|17309.9600000032|22211.1800000038|19135.6100000032|13219.8900000029|7827.42000000179
201510|20151025|15|1236.21999999987|2145.55999999992|3167.20000000054|2940.9500000004|2680.74000000035|2515.42000000027|1492.07999999983|2476.85000000015|2947.41000000038|2864.68000000035|2676.77000000032|2404.53000000014
