id,축제명,address_name,place_name,x,y,road_address_name,place_url,연번,시도명,시군구명,시작일,종료일,축제주요내용,"주최/주관
                (담당자 연락처)","최초개최년도
                및 횟수","축제예산(안)
                (합  계)",국비,도비,시군비,기타,축제종류
0,서울대공원 별밤축제,경기 과천시 대공원광장로 102,서울대공원,,,,,5,과천,과천,2015-07-25,2015-08-23,"별밤시네마, 동물사랑 물총퀴즈, 올빼미산책 등","서울대공원 총무과
(02-500-7243)",2005(11회),80,,,,,기타
1,서울드럼페스티벌,서울 중구 태평로1가 54-3,서울드럼페스티벌,126.977964394097,37.5656906233558,서울 중구 세종대로 110,http://place.map.kakao.com/7935778,6,서울,서울,2015-08-07,2015-08-08,"메인공연,부대공연, 타악관련 전시/체험 교육행사","문화예술과
(02-2133-2571)",1999(16회),400,,,,,문화예술
2,서울문화의 밤,서울 중구 을지로 281,DDP,,,,,7,서울,서울,2015-08-28,2015-08-29,"오픈하우스 서울,서울뮤직페스티벌, 문화상상플러스","문화예술과
(02-2133-2573)",2008(7회),580,,,,,문화예술
3,하이서울페스티벌,서울특별시 중구 세종대로 110,"서울광장, 청계광장, 광화문광장, 서울시립미술관",,,,,8,서울,서울,2015-10-01,2015-10-04,국내외 초청 거리예술 공연 및 시민참여 프로그램 등,"문화예술과
(02-2133-2574)",2003(13회),1600,,,,,문화예술
4,서울대공원가을축제,경기 과천시 대공원광장로 102,서울대공원,,,,,9,과천,과천,2015-10-09,2015-10-25,"동물복지나눔콘서트, 국화꽃향기 콘서트, 코끼리똥종이 만들기 등","서울대공원 총무과
(02-500-7243)",2003(13회),90,,,,,기타
5,국악한마당,경기 부천시 송내동 299-24,소리야국악한마당,126.75579483828899,37.4870350969374,경기 부천시 송내대로42번길 44,http://place.map.kakao.com/383317105,10,서울,서울,2015-10-08,2015-10-11,"메인공연(전통국악,민요, 퓨전음악)체험프로르램(민속놀이,전통음식)","문화예술과
(02-2133-2571)",2005(11회),150,,,,,문화예술
6,국악한마당,전북 전주시 완산구 태평동 22-11,황금예술국악한마당,127.138860909629,35.8257533656827,전북 전주시 완산구 공북로 64,http://place.map.kakao.com/1840692408,10,서울,서울,2015-10-08,2015-10-11,"메인공연(전통국악,민요, 퓨전음악)체험프로르램(민속놀이,전통음식)","문화예술과
(02-2133-2571)",2005(11회),150,,,,,문화예술
7,서울북페스티벌,서울특별시 중구 태평로1가,서울 광장,,,,,11,서울,서울,2015-10-23,2015-10-25,"서울 전역 도서관 홍보 및 체험부스북콘서트, 저자강연, 문화공연 등",서울도서관,2008(8회),234,,,,,문화예술
8,한강 종이비행기 가족축제,서울 영등포구 여의동로 330,여의도 한강공원,,,,,16,서울,서울,2015-10-10,2015-10-10,"항공우주과학체험프로그램, 소규모 공연 프로그램 등",한강사업본부,2009(6회),500,,,,,기타
9,서울억새축제,서울 마포구 상암동 481-72,서울억새축제,126.886883814634,37.56854690390121,,http://place.map.kakao.com/11505479,17,서울,서울,2015-10-10,2015-10-17,"억새밭 걷기, 시민체험프로그램,문화공연",서부공원녹지사업소,2013(2회),140,,,,,기타
10,서울사진축제,서울 노원구 중계동 508,서울사진축제,127.066776128739,37.6408524151384,서울 노원구 동일로 1238,http://place.map.kakao.com/27291786,18,서울,서울,2015-11-25,2015-12-25,"사진 전시, 사진관련 시민강좡 및 워크숍, 부대 프로그램 등","문화예술과
(02-2133-2560)",2010(5회),300,,,,,문화예술
11,서울김장문화제,서울특별시 중구 세종대로 110,"태평로,세종대로",,,,,19,서울,서울,2015-11-06,2015-11-08,"사랑의 김장나눔, 김장문화관련 주제 전시 및 체험행사",복지정책과,2014(2회),1000,,,,,문화예술
12,"광복절 보신각 타종행사
(광복70주년 기념행사)",서울 종로구 종로 54,보신각,,,,,23,서울,서울,2015-08-15,2015-08-15,광복 70주년 기념 타종행사,역사문화재과,,100,,,,,문화예술
13,한가위 한마당 문화행사,서울 종로구 새문안로 55,서울역사박물관,,,,,24,서울,서울,2015-09-28,2015-09-28,문화공연 및 전통문화 체험프로그램,서울역사박물관,2005(10회),16,,,,,문화예술
14,제야의 타종행사,서울 종로구 종로 54,보신각,,,,,26,서울,서울,2015-12-31,2015-12-31,신년맞이 보신각종 타종 및 축하공연 등 부대행사,역사문화재과,1953(63회),260,,,,,문화예술
15,서울세계불꽃축제,서울 영등포구 여의도동 85,서울세계불꽃축제,126.93511804556299,37.5263408417948,,http://place.map.kakao.com/10502518,29,서울,서울,2015-10-03,2015-10-03,"세계각국초청 불꽃쇼, sbs 공개방송 및 시민참여 부대행사","(주) 한화, (주) 한컴",2000(12회),130,,,,,문화예술
16,서울아리랑페스티벌,서울 용산구 남영동 131-1,(사단)서울아리랑페스티벌조직위원회,126.973703686576,37.5407176916654,서울 용산구 한강대로72길 3,http://place.map.kakao.com/23763683,30,서울,서울,2015-10-10,2015-10-11,"개막공연, 아리랑퍼레이드, 일렉트로닉 DJ공연, 아리랑 난장 등",서울아리랑 페스티벌 조직위원회,2013(3회),0,,,,,문화예술
17,서울빛초롱축제,서울 중구 태평로1가 1,서울빛초롱축제,126.97778225256799,37.5691900568791,,http://place.map.kakao.com/187995053,31,서울,서울,2015-11-06,2015-11-22,"서울시 주제 등, 지자체 및 해외초청 등 기업체 및 캐릭터 등",서울관광마케팅,2009(7회),1130,,,,,문화예술
18,서울국제하모니카페스티벌,서울 중구 을지로 12,서울 광장,,,,,35,서울,서울,2015-07-31,2015-08-02,"하모니카 경연대회 및 연주, 학술행사 등",서울국제하모니카 페스티벌 조직위원회,,100,,,,,문화예술
19,"2015 古GO종로문화
페스티벌(개막행사)",,,127.00003970000002,37.5817895,,,36,서울,종로구,2015-09-11,2015-09-20,"개막식 의전행사 및 축하공연, 대표행사 및 테마행사 진행","종로구 문화과
(02-2148-1805)",2011(5회),56,,,,,문화예술
20,인사전통문화축제,서울특별시 종로구 인사동 33-2,남인사마당,,,,,37,서울,종로구,2015-09-09,2015-09-15,"전통문화(다도, 공예 등) 체험, 전통 국악 공연, 한중 문화 교류전 등","종로구 문화과
(02-2148-1806)",1988(28회),40,,,,,문화예술
21,육의전 체험축제,서울 종로구 서린동 1-11,육의전체험축제,126.981015111113,37.56905727368,,http://place.map.kakao.com/25681613,38,서울,종로구,2015-09-19,2015-09-20,"전통 음악, 무용공연, 육의전 체험부스 운영, 현대 소특구 우수상품 판매","종로구 관광체육과
(02-2148-1862)",2007(10회),98,,,,,문화예술
22,궁중과 사대부가의 전통음식 축제,,,126.9847851,37.5761402,,,39,서울,종로구,2015-09-15,2015-09-16,"궁중음식 전시, 공연, 재현 등","종로구 관광체육과
(02-2148-1855)",2004(9회),150,,,,,문화예술
23,D.FESTA 대학로거리공연축제,,,126.9997236,37.5811307,,,40,서울,종로구,2015-09-16,2015-09-20,거리극 공연,"(사)한국소극장협회
(02-3674-0471)",2007(9회),250,,,,,문화예술
24,2015 세계문자심포지아,,,126.9475124,37.5981936,,,41,서울,종로구,2015-10-16,2015-10-25,"국제학술대회, 문자 관련 인포그래픽, 예술작품 전시, 문화예술공연 및 체험","종로구 문화과
(02-2148-1805)",2014(2회),400,,,,,문화예술
25,북촌축제,서울 중구 태평로1가 31,경북착한사과페스티벌,126.97794629131901,37.5656653920858,서울 중구 세종대로 110,http://place.map.kakao.com/21909564,43,서울,종로구,2015-09-12,2015-09-12,"전통공예 체험 및 전시, 부대공연, 사진전시 등","종로구관광체육과
(02-2148-1853)",2011(5회),30,,,,,문화예술
26,북촌축제,서울 중구 태평로2가 17-3,영양고추핫페스티벌,126.977974594622,37.5656446744599,,http://place.map.kakao.com/99431366,43,서울,종로구,2015-09-12,2015-09-12,"전통공예 체험 및 전시, 부대공연, 사진전시 등","종로구관광체육과
(02-2148-1853)",2011(5회),30,,,,,문화예술
27,북촌축제,서울 성북구 성북동 142,성북동문화재야행,127.00142659138099,37.59321263104809,,http://place.map.kakao.com/1671573387,43,서울,종로구,2015-09-12,2015-09-12,"전통공예 체험 및 전시, 부대공연, 사진전시 등","종로구관광체육과
(02-2148-1853)",2011(5회),30,,,,,문화예술
28,북촌축제,서울 중구 정동 8-11,정동문화축제,126.97278028479099,37.5658553252199,서울 중구 정동길 43,http://place.map.kakao.com/8060968,43,서울,종로구,2015-09-12,2015-09-12,"전통공예 체험 및 전시, 부대공연, 사진전시 등","종로구관광체육과
(02-2148-1853)",2011(5회),30,,,,,문화예술
29,북촌축제,서울 종로구 명륜4가 111-2,축제소극장,127.00085136407,37.5818457122351,서울 종로구 대학로9길 18,http://place.map.kakao.com/15202011,43,서울,종로구,2015-09-12,2015-09-12,"전통공예 체험 및 전시, 부대공연, 사진전시 등","종로구관광체육과
(02-2148-1853)",2011(5회),30,,,,,문화예술
30,북촌축제,서울 종로구 명륜2가 4,축제tv,126.999221047949,37.5861164208799,서울 종로구 혜화로3길 19,http://place.map.kakao.com/1241803642,43,서울,종로구,2015-09-12,2015-09-12,"전통공예 체험 및 전시, 부대공연, 사진전시 등","종로구관광체육과
(02-2148-1853)",2011(5회),30,,,,,문화예술
