,축제명,축제주요내용
0,서울국제빵과자페스티벌,"['0', '0백운용', '백', '운용', '0기자', '기자', '0대구공업대학교', '대구', '공업', '대학교', '총장', '0이별', '이별', '0호텔외식조리', '호텔', '외식', '조리', '계열', '0창업동아리', '창업', '동아리', '지도', '지도교수', '교수', '저', '19', '19회', '회', '서울', '서울국제빵', '국제', '빵', '과자', '0페스티', '페스티', '0제과부분', '제과', '부분', '0전원', '전원', '0수상', '수상', '029', '029일', '일', '이번', '이번대회', '대회', '대구공업대학교', '조리계열', '14', '14회', '과자페스티벌', '페스티벌', '학생', '학생라이브케이크', '라이브', '케이크', '부문', '장관', '20', '20일', '23', '23일', '열린', '국제빵과자', '은', '1983', '1983년', '년', '2019', '2019년', '30', '30년', '지속', '국내', '국내유일', '유일', '전문', '전시회', '최대', '식', '식음료관련', '음료', '관련', '국내외', '권위', '외식업체', '업체', '참여', '후원', '날씨', '디저트', '차', '잔', '최근', '트렌드', '최고급', '소개', '이', '코', '코엑스', '엑스', '다양', '제품', '19일', '측', '올해', '전문전시회', '기계', '재료', '포장', '등', '산업', '아이템', '2019.11']"
1,아르헨티나페스티발,"['18', '18일', '일', '현지', '현지시간', '시간', '오후', '프랑스', '칸', '팔', '팔레', '레', '페스티발', '저', '72', '72회', '회', '국제', '국제영화제', '영화제', '투', '올드', '투', '다이', '영', '레드', '레드카펫', '카펫', '행사', '진행', '임신', '임신중절합법화', '중절', '합법화', '찬성', '지지자', '르', '티나', '임신중지', '중지', '6', '6천명', '천', '명', '한인', '이', '중남미', '전체', '브라질', '멕시코', '과', '한국', '한국영화', '영화', '상영', '상영회', '회', '계획', '7', '7월', '월', '우리', '유명', '국', '국악단', '악단', '초청', '예정', '9', '9월', '모드', '모드리치', '리치', '25', '25일', '오전', '2', '2시30분', '시', '30', '분', '한국시각', '시각', '영국', '런던', '로얄', '홀', '베스트', '풋볼', '리', '리오넬', '오', '넬', '메시', '주장', '1', '1순위', '순위', '접전', '끝', '이번', '호', '호날', '날', '북쪽', '미션', '포사', '포사다스', '다스', '도시', '음악', '약', '1000', '1000명', '청소년', '지휘', '10', '10월', '칠', '칠레', '0', '오바예', '바', '예', '마스터', '마스터클래스', '클래스', '교수', '2015', '2015년', '년', '준비', '성격', '프', '프레', '2016', '2016년', '년', '회', '연', '충무로', '충무로뮤지컬영화제', '뮤지컬', '접합', '페론', '할리우드', '버전', '애비', '애비타', '타', '라스', '폰', '트리', '감독', '어둠', '속의', '025', '025일', '0영국', '워즈', '2018', '개최', '관심', '앞', '의', '올해', '선수상', '투표', '처음', '표', '화제', '라틴', '푸드', '페스티벌', '가주', '최대', '규모', '히스', '히스패닉', '패', '닉', '토', '엠', '엠바카', '카', '마리나', '파크', '노스', '6회', '나', '나파', '파', '포르투', '스페인', '그', '출신', '여성화', '레오노르', '오노', '1908', '1996', '삶', '노래', '산', '산조', '조', '이', '시', '최', '공연', '재즈', '만남', '을', '통', '동양', '전통', '서양']"
2,한강홀릭,"['한강', '최근', '일상', '일상샷', '샷', '시선', '시선강탈', '강탈', '정', '정준의', '준의', '소개팅', '소개팅녀', '녀', '방송', '핫이슈', '등극', '김', '김유지', '유지', '과', '송', '송유지', '예명', '배우', '활동', '2017', '2017년', '년', '종영', '역', '요정', '김복주', '복주', '로', '데뷔', '멜로', '홀', '홀릭', '릭', '등에', '18', '18일', '일', '오후', '서울', '반포', '공원', '위치', '빛', '빛섬', '섬', '예', '예빛무대', '무대', '5', '미니', '미니앨범', '앨범', '포', '포이즌', '이즌', '컴', '컴백', '백', '기념', '스페셜', '버스', '버스킹', '킹', '개최', '이날', '컴백', '팬', '공', '만명', '25', '25만', '만', '도심', '5만', '의', '관람객', '성황', '29', '29일', '구리', '구리역', '광장', '대단원', '막', '이번', '축제', '지난달', '27', '27일', '3', '3일간', '일간', '코스모스', '갈매', '애비', '애비뉴', '뉴', '앞', '분수대', '하차', '대', '대교', '교', '보행', '보행길', '길', '10', '15', '15분', '분', '정도', '진입', '가능', '촌', '촌나루', '나루', '여의', '여의나루', '등', '수상', '수상택시', '택시', '이용', '수', '김명희', '명희', '기자', '세상', '모든', '워', '을', '위', '노래', '인기', '여성', '듀오', '지류', '산책길', '듯', '개', '재수', '경험', '남자', '키', '리브스', '러', '영화', '존', '윅', '번째', '시리즈', '파라', '파라벨', '벨', '룸', '6', '6월', '월', '개봉', '짐승', '안방', '안방극장', '극장', '13', '13일', '밤', '10시', '시', '예능', '프로그램', '어디', '아내', '맛', '사람', '뷰', '집', '본격', '셀프', '인테리어', '제이', '은', '현관', '옆', '벽', '페인트']"
3,그랜드케이팝페스티벌,"['인터', '인터콘티넨', '콘티', '넨', '호텔', '랜드', '볼', '볼룸', '룸', '기자', '기자회견', '회견', '팀', '대표', '케이', '케이팝', '팝', '의', '경쟁력', '페스티', '을', '계획', '본무', '본무대인', '대인', '캠프', '라운', '라운즈', '즈', '로', '구성', '가운데', '주최', '주최사', '사', '참석', '형태', '현재', '생각', '전세계', '존재', '인터파크티켓', '파크', '티켓', '콘서트', '순위', '코', '태', '앞', '창', '창원', '원', '페스티벌', '민드', '뒤', '섬', '섬재즈', '재즈', '과', '렛츠', '렛츠락', '락', '위치', '20', '이즈', '이즈백', '백', '은', '태의', '데뷔', '20주년', '주년', '뷰', '뷰어스', '어스', '싱', '포', '포르', '르', '8', '8일', '일', '오후', '4', '4시', '시', '티', '티넨', '볼륨', '2019', '회', '방탄', '방탄소년단', '소년단', '참여', '글로벌', '이', '수', '질문', '이수', '총괄', '프로듀서', '5', '5일', '대구', '한국', '한국문화산업포럼', '문화', '산업', '포럼', '연단', '1997', '1997년', '년', '해외', '이번', '대구국제뮤지컬', '국제', '뮤지컬', '초청', '만큼', '음악', '음악매체', '매체', '보드', '칼럼', '니', '스트로', '활동', '저', '프', '자', '자민', '민', '2', '2일', '서울', '한남', '한남동', '동', '하', '하얏', '얏', '호', '블랙', '블랙핑크', '핑크', '미국', '코첼라', '첼', '라', '공연', '거']"
4,서리풀페스티벌,"['이', '관련', '전', '전희경', '희경', '한국', '한국당', '당', '대변인', '전날', '페이스', '페이스북', '북', '서초', '서초구청', '구청', '서리', '서리풀페스티벌', '풀', '페스티벌', '촛불', '촛불집회', '집회', '참가자', '축제', '구분', '내용', '글', '게시', '대한', '대한민국', '민국', '정신', '정신나간', '나간', '나중', '서초', '서초구', '구', '주최', '의', '폐막', '행사', '방송인', '박명수', '디엠', '판타지', '검찰', '개혁', '요구', '국민', '함성', '위', '불꽃', '불꽃놀이라니', '놀이', '라니', '우연', '우연이요', '이요', '서울', '구청장', '28', '28일', '일', '반포', '대미', '장식', '1000', '1000명의', '명의', '오케스트라', '불', '불음악축제', '음악', '일렉트로닉', '댄스', '댄스뮤직', '뮤직', '파티', '등', '폐막행사', '26', '26일', '오후', '2', '2시', '시', '초구', '9', '9시', '30', '30분', '분', '서리풀', '10', '10만', '만', '명', '가량', '참석', '추산', '이날', '페스티발', '21', '21일', '개막', '이후', '8', '23', '23개', '개', '프로그램', '250', '250여개', '여', '공연', '총', '서초문화재단', '문화', '재단', '주관', '흥미', '로', '구민', '무대', '서초구민', '민', '0', '시민', '어제', '10시', '서초역', '역', '서초3동', '3', '동', '사거리', '1', '구간', '10만여', '고', '시간대', '저', '7', '7차검찰개혁', '차', '촛불문화제', '문화제']"
5,대학로문화축제(SUAF),"['축제', '저', '16', '16회', '회', '대학로', '대학로문화축제', '문화', '23', '24', '24일', '일', '이틀간', '마로니에', '공원', '인근', '도로', '일대', '2002', '2002년', '년', '1', '1회', '시작', '올해', '회', '뉴스', '현지', '기자', '23일', '오후', '서울', '종로', '종로구', '구', '회', '이날', '미디어', '미디어후원사', '후원', '사', '부스', '시민', '0', '리', '피', '0행사', '행사', '참여']"
6,궁중과사대부가의전통음식축제,"['11', '11일', '일', '서울', '종로', '종로구', '구', '운', '운현궁', '현궁', '열린', '궁', '궁중과', '중과', '사대부가', '전통', '전통음식축제', '음식', '축제', '시민', '1400', '1400년대', '년대', '1900', '1900년대', '조리', '속의', '을', '옛날', '책', '기록', '궁중', '중', '과', '구청장', '김', '김영종', '영종', '12', '12일', '삼일', '464', '우리', '한식', '한식문화', '문화', '보존', '계승', '개최', '7', '7일', '2004', '2004년', '년', '시작', '올해', '13', '13회', '회']"
7,ARKO한국창작음악제(국악부문),"['한국', '의', '창작', '관', '관현악', '현악', '산실', '역할', '양악', '국악', '망라', '대한', '대한민국', '민국', '대표', '창작음악제', '음악제', '로', '자리', '2020', '2020년', '년', '2', '2월', '월', '저', '11', '11회', '회', '한국창작음악제', '부문', '연주회', '0', '문화', '문화예술위원회', '예술', '위원회', '위원장', '박', '박종관', '종관', '이하', '추진', '추진위원회', '용', '창', '주최', '대표적', '국악부문', '2019', '2019년', '11월', '15', '15일', '일', '금', '창제', '오늘', '17', '17일', '전당', '콘서트홀', '개최', '예정', '이날', '10', '10회']"
8,대종상영화제(DaejongFilmFestival),[]
9,아트에디션,"['주류', '주류유통전문기업', '유통', '전문', '기업', '신세계', '세', '화백', '협업', '아트', '앤', '와인', '프로젝트', '3', '3종', '종', '한정', '수량', '한정판', '디', '디션', '션', '당시', '각', '작품', '최근', '신라', '신라호텔', '호텔', '브랜드', '파티', '베', '베딩', '딩', '트라', '트라페즈', '페즈', '로열', '네이비', '프', '프라노', '라', '노', '의', '대가', '박명', '박명선', '선', '아티스트', '환상적', '콜라', '세상', '처음', '국내', '최대', '미술품', '경매', '경매사', '사', '서울옥션', '이번', '출품', '판', '판타스', '타스', '릭', '1', '이', '가격', '독일', '저명', '컬렉터', '컬렉터인', '인', '히트', '히트임모빌', '임', '모빌', '그룹', '저', '7', '유로', '약', '9', '9천만', '천만', '원', '구입', '사진', '작업', '창작', '경험', '아이디어', '공간', '리', '리미티드', '미', '티드', '11', '서울', '북', '북페어', '페어', '2019', '준비', '거리', '언', '언리미티드', '리', '지난달', '15', '15일', '일', '17', '17일', '서울시립', '시립', '은', '코리아', '27', '27일', '유명', '디자이너', '안', '나', '번스', '한국', '코이버드', '독창적', '아방가르드', '스타일', '패션', '뷰티', '라이프', '라이프스타일', '등', '다양', '전시', '프로그램', '일환', '진행', '주제', '주제관', '관', '코너', '4', '4인의', '인의', '공동', '디렉터', '관람객', '을', '소동', '소동호가', '호가', '총괄', '총괄기획', '기획', '메디컬', '메디컬투데이', '투데이', '김', '김준수', '준수', '기자', '롯데', '롯데칠성음료', '칠성', '음료', '롯데뮤지', '뮤', '지', '열리', '피', '달', '달착륙', '착륙', '50', '50주년', '주년', '기념', '특별', '투', '문', '위드', '연계', '데', '데일리', '일', '리', '워터']"
