연번,시도명,시군구명,축제명,"2016년
개최기간",축제주요내용,"주최/주관
(담당자 연락처)","최초개최년도
및 횟수","2016년
축제예산(안)
(단위 : 백만원)",국비,"시,도비","구,군비",기타,"축제종류
(택1)",축제소재,개최주기,조직형태,"축제사무국
상설화여부 ","사업위탁
운영여부","방문객수(2015년기준) 
(단위 : 천명)",개최장소
1,서울특별시,시자체,서울드럼페스티벌,"5.27~5.28
(2일간)"," ○ 메인공연부대공연
 ○ 타악관련 전시/체험/교육행사","서울시 문화예술과
(02-2133-2571)","1999년도
(17회)",400,-,400,-,-,문화예술,"드럼, 음악",매년,공공(시),없음,부분위탁(운영),40,서울광장
2,서울특별시,시자체,서울거리예술축제,"9.28~10.2
(5일간)",○ 국내외 초청 거리예술 공연 및 시민 참여 프로그램 등,"서울시 문화예술과
(02-2133-2573)",2003년도,"1,600",-,"1,600",-,-,문화예술,"예술, 거리",매년,"공공(시)
재단법인",없음,전체위탁,"1,000","서울광장, 광화문광장 등"
3,서울특별시,시자체,서울문화의 밤,"8.26~8.27
(2일간)"," ○ 시민의 광장(서울광장 캠핑)
 ○ 올빼미잔치, 서울의 발견(문화탐방 프로그램) 등","서울시 문화예술과
(02-2133-2574)","2008년도
(8회)",522,-,522,-,-,문화예술,"밤, 캠핑",매년,"공공(시).축제조직위
",없음,부분위탁(운영),,"서울광장, 동대문디자인플라자"
4,서울특별시,시자체,서울김장문화제,"11.4~11.6
(3일간)"," ○ 사랑의 김장나눔
 ○ 김장문화 관련 주제전시 및 체험행사, 김치 및 부재료 판매, 문화 프로그램 등","서울시 문화예술과
(02-2133-2570)","2014년도
(3회)","1,800",-,"1,800",-,-,문화예술,"김치, 나눔, 문화",매년,공공(시군구),없음,부분위탁(운영),830,"서울광장, 광화문광장, 무교로 등"
5,서울특별시,시자체,국악한마당,"10.8~10.11
(4일간)"," ○ 메인공연(전통국악, 민요, 퓨전국악, 무용 등)
 ○ 체험 프로그램(민속놀이, 전통음식체험)","서울시 문화예술과
(02-2133-2571)",2005년도,150,-,150,-,-,전통역사,"국악, 예술",매년,공공(시군구),없음,자체추진,5,남산골 한옥마을
6,서울특별시,시자체,서울사진축제,"11.1~11.30
(30일간)","ㅇ 전시 : 사진작가 전시, 시민참여 전시
ㅇ 부대행사 : 사진가 재능나눔사진관, 사진가의 열린서재, 심포지엄, 사진의 달 등","서울시 문화예술과
(02-2133-2561)","2010년도
(7회)",300,-,300,-,-,문화예술,사진,매년,공공(시군구),없음,부분위탁,120,"시민청, 서울시청사, 서울도서관, 북서울미술관"
7,서울특별시,시자체,서울아리랑페스티벌,"10.21~10.23
(3일간)","○ 개막공연, 아리랑 퍼레이드, 일렉트로닉 DJ공연, 아리랑 난장 등","서울시 문화예술과
(02-2133-2571)","2013년도
(3회)","1,300",-,-,-,"1,300",전통역사,"국악, 예술",매년,사단법인,있음,자체추진,100,광화문광장
8,서울특별시,시자체,한강 서래섬 꽃 축제,"5월, 10월 중 
각 2일간","○ 5월 유채꽃, 10월 메밀꽃밭 즐기기, 체험, 공연 등","서울특별시 한강사업본부 
(02-3780-0796)","2004년도
(13회)",70,,70,,,생태자연,꽃,매년,공공(시),해당없음,전체위탁,-,한강공원
9,서울특별시,시자체,2016 서울빛초롱축제,"11.4~11.20
(17일간)"," ○ 개막 점등식, 해외 및 국내초청 주제별  등 전시, 체험 및 부대행사","(사)서울빛초롱축제조직위원회/서울관광마케팅
(02-2133-0936)","2009년도
(8회)","1,063",,"1,063",,,문화예술,"빛, 등",매년,축제조직위,"있음

정규직 2명",전체위탁,"2,509",청계천
10,서울특별시,시자체,도시농업축제한마당,"4.11~10.17
(7개월간)"," ○ 새해농사의 풍년기원 및 
도시농업인의날(4.11) 기념
 ○ 수확의 기쁨을 나누는 추수감사 ","서울특별시 도시농업과
(02-2133-5406)","2016년도
(12회)",60,,60,,,전통역사,매년,,,,,,"공원,텃밭"
11,서울특별시,시자체,서울건축문화제,"10.6~10.31
(25일간)","건축문화축제
 ○ 건축전문: 제34회 서울시 건축상 공모, 시상식, 전시
 ○ 시민참여 : 건축문화투어, 건축아카데미 등 
 ○ 전시운영 : 메타시티2.0,건축상 수상작, 올해의 건축가 전 등 10개 주제별 전시운영","서울특별시 건축기획과
(02-2133-7106)","2009년도
(8회)",210,0,210,0,0,문화예술,건축,매년,"단체,법인",없음,자체추진,-,미정
12,서울특별시,시자체,2016 지구촌나눔한마당,"5.7~5.8
(2일간)"," ○ 메인행사 : 퍼레이드 및 개.폐막식,문화공연
 ○ 부대행사 : 국가별 풍물전 및 음식전 부스 운영, 
                      지구촌 나눔존 등","서울특별시 국제교류담당관 
(02-2133-5294)","1996년도
(20여회) ",495,,495,,,문화예술,"다문화, 나눔 등",매년,공공,없음,부분위탁,,"서울광장, 청계광장, 무교동
 거리 등 "
