연번,시도명,시군구명,축제명,"2019년
개최기간",축제주요내용,"주최/주관
(담당자 연락처)","최초개최년도
및 횟수","2019년
축제예산",국비,"시,도비","구,군비",기타,"국비지원
부처명",세부사업명,"축제종류
(택1)",문화관광축제 여부,축제소재,개최주기,조직형태,"축제사무국
상설화여부 ","사업위탁
운영여부",합 계,내국인,외국인,개최장소
1,서울특별시,영등포구,"영등포 여의도 
봄꽃축제","4.5~4.11.
(7일간)"," ○ 여의서로를 꽃과 전시, 예술공간, 편의공간으로 탈바꿈 
 ○ 꽃를 테마로 공연, 전시, 체험 등 25개 프로그램 운영
 ○  축제기획 및 시민자유 참가공연  공연","영등포구 문화체육과
/ 영등포문화재단
(02-2670-3128)","2005년도
(15회)",729,0,200,246,283,,,문화예술,지역축제,꽃,매년,공공(시군구),없음,부분위탁,"5,060","5,060",,거리
2,서울특별시,용산구,2019 이태원 지구촌 축제,10월 중,"○ 개폐막 공연, 주제공연 및 문화공연
    - 세계문화대상, 글로벌 거리퍼레이드, 세계픙믈전 등","(사)이태원관광특구연합회
(02-797-7319)","2002년도
(18회)",230,0,0,230,0,,,문화예술,지역축제,관광,매년,사단법인,없음,전체위탁,"1,200","1,200",,이태원관광특구
3,서울특별시,용산구,2019 드래곤 IT 페스티벌,10월 중,"○ 개막 콘서트 개최 
○ 첨단 전자제품 대회, 체험, 전시 판매
○ 상가별 문화공연 및 벼룩시장 등 이벤트개최 ","용산구상공회
(02-718-7812)","2012년도
(7회)",20,0,0,20,0,,,지역특산물,지역축제,첨단 전자제품,매년,임의단체,없음,자체 추진,7,7,,용산 전자상가 일대
4,서울특별시,강북구,4.19혁명국민문화제2019,"4.13.~19.
(7일간)","○ 전야제 공식행사 및 락뮤직페스티벌
○ 4.19혁명을 테마로 한 연극, 문화공연, 전시 등 운영
○ 문화,전시,교육,체험 4개분야 37개프로그램 운영","4.19민주혁명회,4.19혁명희생자유족회,4.19혁명공로자회,강북구/4.19혁명국민문화제위원회
(02-901-6206)","2013년도
(7회)",693,225,300,168,0,,,전통역사,지역축제,4.19혁명,매년,축제조직위,"있음

정규직 2명",부분위탁,60,60,,국립4.19민주묘지 및 강북구일원
5,서울특별시,중랑구,서울장미축제,"5. 24 ~5. 26
(3일간)","○ 첫째날 _장미의 날 : 주민참여프로그램(장미가요제, 장미퍼레이드), 오프닝 퍼포먼스(LED장미 소원꽃등 띄우기)
○둘째날_ 연인의 날 : 젊은층과 외국인을 위한 프로그램(로즈&뮤직파티, 뮤지컬 갈라쇼, 로즈&재즈)
○ 셋째날_ 아내의 날 : 아내를 위한 프로그램(아내여 장미처럼 가든디너쇼, 장미꽃길걷기,KBS교향악단 장미음악회, 낙화놀이 등)
 - 장미개화시기동안 중랑아티스트 공연 예정, 또한 중랑천둔치에 부스, 특별 무대를 설치하여 다양하고 성대한 문화축제 개최","중랑구 문화관광과
(02-2094-1823)","2015년도
(5회)",625,0,158,467,0,,,주민화합,지역축제,장미,매년,공공(시군구),없음,자체추진,"2,337","2,286",51,"중랑천장미터널
수림대공원
중화체육공원"
6,서울특별시,중랑구,용마폭포 문화예술축제,10월 초 예정,"○ 공연예술 : 클래식 뮤지컬 가요 국악 재즈 등 고품격 공연 추진
○ 미술,전시 : 문인,미술,사진,서예 등 문화예술단체가 참여하는 전시
○ 문화체험탐방 :  어린이,청소년,가족 등 다양한 연령대가 참여하는
                           종합축제기획  
○ 폭포장터 : 지역경제 홍보 및 활성화를 위한 소상공인 협력체계 구축","중랑구 문화관광과 
(02-2094-1823)","2008년
(12회)",130,0,30,100,0,,,주민화합,지역축제,폭포,매년,공공(시군구),없음,자체추진,27,27,,용마폭포공원
7,서울특별시,시자체,서울거리예술축제 2019,"10.3~10.6
(4일간 예정)"," ○ 국내외 거리예술 공연프로그램
 ○ 시민참여형 기획프로그램 및 대내외 협력프로그램
 ○ 전국체전 100주년 연계 문화행사 등","서울문화재단 예술축제팀
(02-3290-7163)","2003년
(17회)","1,800",0,1800,0,0,,,문화예술,지역축제,거리예술,매년,재단법인,"있음

정규직 4명
계약직 10명
총 14명  ","부분위탁
(기술시스템, 현장운 등 대행사 위탁운영)",880,30,850,"도심광장, 거리, 미술관, 도심재생공간 등"
8,서울특별시,시자체,"2019 서울
서커스페스티벌
'서커스 캬바레'","5.4~5.6
(3일 간)","○ 국내외 서커스 공연프로그램
○ 국제교류프로그램 : 아시아 서커스 네트워크 미팅
○ 시민참여 프로그램 : 서커스 예술놀이터","서울문화재단 예술축제팀
(02-3437-0058)","2018
(2회)",300,0,300,0,0,,,문화예술,지역축제,거리예술,매년,재단법인,"없음
정규직 4명
계약직 1명
총 4명","부분위탁
(기술시스템, 현장운 등 대행사 위탁운영)",11,11,0,문화비축기지
9,서울특별시,시자체,서울빛초롱축제,"11.1~11.17
(17일간)"," ○ 한지 및 LED를 활용한 등(燈) 전시
 ○ 빛을 주제로한 시민참여 체험프로그램 운영","서울관광재단 관광콘텐츠팀
(02-3788-0818)","2009년도
(11회)",833,0,833,0,0,,,문화예술,지역축제,"등(燈), 빛",매년,재단법인,없음,부분위탁,"2,270","1,871",399,"하천, 시내거리"
10,서울특별시,은평구,불광천벚꽃축제,"4월중
(2일간)","○ 개막식 및 축하공연
○ 가훈써주기 등 12개 체험 부스 운영
○생활문화예술동아리 한마당, 인디밴드 공연 등","은평구 문화광광과
(02-351-6514","2012년도
(8회)",75,0,55,20,0,,,생태자연,지역축제,벚꽃,매년,공공,없음,자체추진,"52,000","52,000",0,하천
11,서울특별시,은평구,은평누리축제,"10월중
(4일간)","○ 주민참여프로그램(광장축제, 생화문화예술동아리한마당)
○ 기획프로그램(개막제, 폐막제)","은평문화재단
(070-4174-1772)","2010년도
(10회)",180,0,0,180,0,,,문화예술,지역축제,프로그램공모,매년,재단법인,없음,자체추진,"200,000","200,000",0,"광장
공연장
하천, 공원"
12,서울특별시,은평구,북한산한문화페스티벌,"10월중
(4일간)","○ 이야기콘선트, 문화다양성공연, 체험부스 등","은평구 문화광광과
(02-351-6518)","2012년도
(8회)",218,100,30,88,0,,,문화예술,지역축제,매년,공공,없음,자체추진,400000,"400,000","400,000",0,"북한산성주차장
공휴부지"
13,서울특별시,강서구,겸재문화예술제,5월중(2일간),"○ 전국 사생대회, 진경대전
○ 겸재를 주제로한 전시, 및 어린이날 체험프로그램 운영
○ 특별전, 겸재퍼포먼스 등 개막행사, 궁산에서 펼쳐지는 예술한마당, 겸재전국청소년문화한마당 등 공연 등
○ 기타 야외전시 및 학술대회 등","강서구/강서문화원(겸재정선미술관)
(02-2600-6154)","2015년도
(5회)",141,0,39,102,0,,,문화예술,지역축제,겸재 정선,매년,"임의단체
(추진위원회)",없음,부분위탁(운영),2,2,0,"궁산근린공원,
겸재정선미술관 일대"
14,서울특별시,강서구,강서어린이동화축제,5. 4.(토)(1일),"○ 주제별 퍼레이드 : 800m(강서공고운동장∼방화역∼방화근린공원)
○ 개막식, 각급학교 및 지역동아리(16개팀) 공연
○ 체험부스 및 먹거리 마당 운영","강서구/강서어린이동화축제추진위원회
(02-2600-6986)","2007년도
(10회)
2018년도-->
우천취소",115,0,36,79,0,,,문화예술,지역축제,동화로 보는 강서마을,매년,"임의단체
(추진위원회)",없음,부분위탁(운영),0,0,0,"방화근린공원
(예정)"
15,서울특별시,강서구,한여름 밤의 페스티벌,8월중(1일),○ 한여름 무더위로 지친 구민을 위한 문화예술공연,"강서구/강서문화원
(02-2600-6455)","2006년도
(11회)",50,0,20,30,0,,,문화예술,지역축제,여름,매년,공공(시군구),없음,부분위탁(운영),2,2,0,신정여자상업고등학교(예정)
16,서울특별시,강서구,허준축제,"10.12~10.14
(3일간)","○ 사전프로그램 운영 : 유틍 및 허준 테마등 전시 및 각종 문화 프로그램 운영
○ 허준, 동의보감 관련 주제관 운영
○ 허준전국가요제, 허준콘서트, 지역문화공연 등 각종 문화공연 및 지역문화예술단체 전시 행사, 각종 양한방 체험 프로그램 등 운영
○ 개폐막식 공연, 주제공연 및 문화공연","강서구/강서문화원
(02-2600-6455)","1999년도
(20회)",419,0,100,319,0,,,문화예술,지역축제,"허준, 동의보감,
양한방 건강문화축제",매년,"임의단체
(추진위원회)",없음,부분위탁(운영),25,23,2," 허준근린공원, 허준박물관 일대"
17,서울특별시,강동구,강동선사문화축제,"10.11~10.13
(3일간)"," ○ 대표프로그램: 거리퍼레이드
 ○ 선사문화를 테마로한 공연, 전시, 체험프로그램 운영
 ○ 개폐막 공연, 주제공연 및 문화공연
    - 6개 분야 80여개 프로그램
 ○ 바위절마을 호상놀이, 먹을거리장터 등 부대행사","강동구청 문화예술과
(02-3425-5246)","1996년도
(24회)",640,0,220,420,0,,,문화예술,지역축제,선사문화,매년,공공(시군구),없음,자체추진,400,399,1,서울 암사동 유적
18,서울특별시,광진구,서울동화축제,"5.4.~5.6.
(3일간)","○ 퍼레이드, 버스킹, 동화를 테마로 한 체험프로그램 운영
○ 도로그림그리기, 푸드트럭 운영 등
○ 어린이뮤지컬 등 다양한 동화공연, 상상공작소, 상상에코돔
○ 동화극장, 해피할머니, 고양이 전시회 등","광진구 문화체육과
(02-450-7596)","2012년도
(8회)",380,0,200,180,0,,,문화예술,지역축제,동화,매년,공공(시군구),없음,자체추진,150,150,,서울어린이대공원 및 대공원 정문 앞 도로
19,서울특별시,광진구,광나루어울마당,"10월 첫째주
(2일간)","○ 가요제 등 주민화합 프로그램 운영
○ 다양한 체험프로그램, 먹거리마당 운영","광진구 문화체육과
(02-450-7597)","2011년도
(9회)",110,0,30,80,0,,,문화예술,지역축제,주민화합,매년,공공(시군구),없음,자체추진,20,20,,서울어린이대공원 및 대공원 및 능동로
