,축제명,태그
0,"영등포 여의도 
봄꽃축제","['여의' '여의서로' '서로' '꽃' '전시' '예술' '예술공간' '공간' '편의' '편의공간' '탈바꿈' '꽃를' '테마'
 '공연' '체험' '등' '25' '25개' '개' '프로그램' '운영' '축제' '축제기획' '기획' '시민' '시민자유'
 '자유' '참가' '참가공연']"
1,2019 이태원 지구촌 축제,"['개' '개폐막' '폐막' '공연' '주제' '주제공연' '문화' '문화공연' '세계' '세계문화대상' '대상' '글로벌' '거리'
 '레' '레이드' '이드' '세계픙믈전' '픙믈' '전' '등']"
2,2019 드래곤 IT 페스티벌,"['개막' '콘서트' '개최' '첨단' '전' '전자' '전자제품' '자제품' '제품' '대회' '체험' '전시' '판매' '상가'
 '상가별' '별' '문화' '문화공연' '공연' '벼룩시장' '등' '이벤트' '이벤트개최']"
3,4.19혁명국민문화제2019,"['전야제' '공식' '공식행사' '행사' '락' '락뮤직페스티벌' '뮤직' '페스티벌' '4.19' '4.19혁명' '혁명'
 '테마' '연극' '문화' '문화공연' '공연' '전시' '등' '운영' '교육' '체험' '4' '4개분야' '개' '분야'
 '37' '37개프로그램' '프로그램']"
4,서울장미축제,"['첫째' '첫째날' '날' '장미' '주민' '주민참여프로그램' '참여' '프로그램' '장' '장미가요제' '미' '가요제' '레'
 '레이드' '이드' '오프닝' '퍼포먼스' '소원' '소원꽃등' '꽃' '등' '띄우기' '둘째' '둘째날' '연' '연인의'
 '인의' '층' '외국인' '로즈' '뮤직' '뮤직파티' '파티' '뮤지컬' '쇼' '재즈' '셋째' '셋째날' '아내' '아내여'
 '여' '가든' '가든디너쇼' '디너쇼' '장미꽃' '장미꽃길걷기' '길' '걷기' '교향악단' '장미음악회' '음악회' '낙화'
 '낙화놀이' '놀이' '장미개화시기동안' '개화' '시기' '동안' '중랑' '중랑아티스트' '아티스트' '공연' '예정'
 '중랑천' '중랑천둔치' '둔치' '부스' '특별' '무대' '설치' '다양' '성대' '문화' '문화축제' '축제' '개최']"
5,용마폭포 문화예술축제,"['공연' '공연예술' '예술' '클래식' '뮤지컬' '가요' '국악' '재즈' '등' '고품' '고품격' '격' '추진' '미술'
 '전시' '문인' '사진' '서예' '문화' '문화예술단체' '단체' '참여' '문화체험탐방' '체험' '탐방' '어린이'
 '청소년' '가족' '다양' '연령' '연령대가' '대가' '종합' '종합축제기획' '축제' '기획' '폭포' '폭포장터' '장터'
 '지역' '지역경제' '경제' '홍보' '활성화' '소' '소상공인' '상공인' '협력' '협력체계' '체계' '구축']"
6,서울거리예술축제 2019,"['국내외' '거리' '거리예술' '예술' '공연' '공연프로그램' '프로그램' '시민' '시민참여형' '참여' '형' '기획'
 '기획프로그램' '대내외' '협력' '협력프로그램' '전국' '전국체전' '체전' '100' '100주년' '주년' '연계'
 '문화' '문화행사' '행사' '등']"
7,"2019 서울
서커스페스티벌
'서커스 캬바레'","['국내외' '서커스' '공연' '공연프로그램' '프로그램' '국제' '국제교류프로그램' '교류' '아시아' '네트워크' '미팅'
 '시민' '시민참여' '참여' '예술' '예술놀이터' '놀이터']"
8,서울빛초롱축제,['한지' '활용' '등' '전시' '주제' '시민' '시민참여' '참여' '체험' '체험프로그램' '프로그램' '운영']
9,불광천벚꽃축제,"['개막식' '축하' '축하공연' '공연' '가훈' '주기' '등' '12' '12개' '개' '체험' '부스' '운영' '생활'
 '생활문화예술동아리' '문화' '예술' '동아리' '한마당' '인' '인디밴드' '디' '밴드' '등']"
10,은평누리축제,"['주민' '주민참여프로그램' '참여' '프로그램' '광장' '광장축제' '축제' '생화' '생화문화예술동아리' '문화' '예술'
 '동아리' '한마당' '기획' '기획프로그램' '개막' '폐막']"
11,북한산한문화페스티벌,['이야기' '이야기콘선트' '콘' '선트' '문화' '문화다양성공연' '다양성' '공연' '체험' '체험부스' '부스' '등']
12,겸재문화예술제,"['전국' '사생' '사생대회' '대회' '진경' '진경대전' '대전' '겸' '겸재' '재' '주제' '전시' '어린이날' '체험'
 '체험프로그램' '프로그램' '운영' '특별' '특별전' '전' '겸재퍼포먼스' '퍼포먼스' '등' '개막' '개막행사' '행사'
 '궁산' '예술' '예술한마당' '한마당' '겸재전국청소년' '청소년' '문화' '문화한마당' '공연' '기타' '야외'
 '야외전시' '학술' '학술대회' '등']"
13,강서어린이동화축제,"['주제별' '퍼레이드' '800' '강서' '강서공고운동장' '공고' '운동장' '방화' '방화역' '역' '방화근린공원' '근린'
 '공원' '개막식' '각급' '각급학교' '학교' '지역' '지역동아리' '동아리' '16' '16개팀' '개' '팀' '공연'
 '체험' '체험부스' '부스' '먹거리' '마당' '운영']"
14,한여름 밤의 페스티벌,['한여름' '무더위' '구민' '문화' '문화예술공연' '예술' '공연']
15,허준축제,"['사전' '사전프로그램' '프로그램' '운영' '유' '유틍' '틍' '허' '테마' '테마등' '등' '전시' '각종' '문화'
 '동' '보감' '관련' '주제' '주제관' '관' '전국' '전국가요제' '가요제' '콘서트' '지역' '지역문화공연' '공연'
 '문화공연' '지역문화예술단체' '예술' '단체' '행사' '양' '방' '체험' '개' '개폐막식' '폐막' '식' '주제공연']"
