,축제명,태그
0,서울드럼페스티벌,['메인' '메인공연부대공연' '공연' '부대' '타' '타악관련' '악' '관련' '전시' '체험' '교육' '교육행사' '행사']
1,서울거리예술축제,['국내외' '초청' '거리' '거리예술' '예술' '공연' '시민' '참여' '프로그램' '등']
2,서울문화의 밤,"['시민' '광장' '서울' '서울광장' '캠핑' '올빼미' '올빼미잔치' '잔치' '발견' '문화' '문화탐방' '탐방'
 '프로그램' '등']"
3,서울김장문화제,"['사랑' '김장' '김장나눔' '나눔' '김장문화' '문화' '관련' '주제' '주제전시' '전시' '체험' '체험행사' '행사'
 '김치' '부' '부재료' '재료' '판매' '프로그램' '등']"
4,국악한마당,"['메인' '메인공연' '공연' '전통' '전통국악' '국악' '민요' '퓨' '퓨전국악' '전' '무용' '등' '체험'
 '프로그램' '민속' '민속놀이' '놀이' '전통음식체험' '음식']"
5,서울사진축제,"['ㅇ' '전시' '사진' '사진작가' '작가' '시민' '시민참여' '참여' '부대' '부대행사' '행사' '사진가' '재능'
 '재능나눔사진관' '나눔' '사진관' '열린' '열린서재' '서재' '심포지엄' '달' '등']"
6,서울아리랑페스티벌,['개막' '개막공연' '공연' '아리랑' '퍼레이드' '일렉트로닉' '난장' '등']
7,한강 서래섬 꽃 축제,['5' '5월' '월' '유채꽃' '10' '10월' '월' '메밀' '메밀꽃밭' '꽃밭' '체험' '공연' '등']
8,2016 서울빛초롱축제,"['개막' '점등' '점등식' '식' '해외' '국내' '국내초청' '초청' '주제별' '등' '전시' '체험' '부대' '부대행사'
 '행사']"
9,도시농업축제한마당,"['새해' '새해농사' '농사' '풍년' '풍년기원' '기원' '도시' '도시농업인의날' '농업' '인의' '날' '4.11'
 '기념' '수확' '기쁨' '추수' '추수감사' '감사']"
10,서울건축문화제,"['건축' '건축문화축제' '문화' '축제' '건축전문' '전문' '저' '34' '34회' '회' '서울시' '공모' '시상식'
 '전시' '시민' '시민참여' '참여' '건축문화투어' '투어' '건축아카데미' '아카데미' '등' '전시운영' '운영' '메타'
 '메타시티2.0' '시티' '2.0' '건축상' '상' '수상작' '올해' '건축가' '전' '10' '10개' '개' '주제별']"
11,2016 지구촌나눔한마당,"['메인' '메인행사' '행사' '퍼레이드' '개' '폐막' '폐막식' '식' '문화' '문화공연' '공연' '부' '부대행사'
 '대행사' '국가별' '풍물' '풍물전' '전' '음식' '음식전' '부스' '운영' '지구촌' '나눔' '나눔존' '존' '등']"
12,"서울 북 페스티벌
Seoul Book Festival
도서관아! 놀자","['ㅇ' 'ㅇ독서' '독서' '공동체' '프로그램' '포맷' '포맷하' '하' '기획' 'ㅇ책' '책' '도서관' '테마' '공연'
 '전시' '체험' 'ㅇ독서문화활동' '문화' '활동' '저자' '출판' '책방' '관련' '해' '주제' '설정']"
13,16 한강몽땅 여름축제,"['3' '3개테마' '개' '테마' '80' '80여개' '여' '프로그램' '수' '수영장' '영장' '박스' '박스원레이스'
 '원' '레이스' '수상' '수상레포츠' '레포츠' '등']"
14,서울대공원 벚꽃 축제,['벚꽃' '벚꽃주제' '주제' '공연' '전시' '등']
15,서울대공원 장미원 축제,['왕자' '주제' '전시' '장미' '장미풀장' '풀장' '등']
